GO:0008150	BP
_	GO:0000003	reproduction
_	_	GO:0030712	negative regulation of border follicle cell delamination
_	_	GO:0031342	negative regulation of cell killing
_	_	GO:0032845	negative regulation of homeostatic process
_	_	GO:0034259	negative regulation of GTPase activity
_	_	GO:0034260	negative regulation of GTPase activity
_	_	GO:0034261	negative regulation of GTPase activity
_	_	GO:0040013	negative regulation of locomotion
_	_	GO:0042754	negative regulation of circadian rhythm
_	_	GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity
_	_	GO:0043901	negative regulation of multi-organism process
_	_	GO:0045759	negative regulation of action potential
_	_	GO:0045847	negative regulation of nitrogen utilization
_	_	GO:0045882	negative regulation of sulfur utilization
_	_	GO:0045926	negative regulation of growth
_	_	GO:0045942	negative regulation of phosphorus utilization
_	_	GO:0048523	negative regulation of cellular process
_	_	GO:0048585	negative regulation of response to stimulus
_	_	GO:0051051	negative regulation of transport
_	_	GO:0051093	negative regulation of developmental process
_	_	GO:0051129	negative regulation of cellular component organization
_	_	GO:0051241	negative regulation of multicellular organismal process
_	_	GO:0051243	negative regulation of cellular process
_	_	GO:0051283	negative regulation of sequestering of calcium ion
_	_	GO:0051918	negative regulation of fibrinolysis
_	_	GO:0061089	negative regulation of sequestering of zinc ion
_	_	GO:1900096	negative regulation of dosage compensation by inactivation of X chromosome
_	_	GO:1900272	negative regulation of long-term synaptic potentiation
_	_	GO:1900453	negative regulation of long term synaptic depression
_	_	GO:1902264	negative regulation of GTPase activity
_	_	GO:1902631	negative regulation of membrane hyperpolarization
_	_	GO:1902684	negative regulation of receptor localization to synapse
_	_	GO:1902873	negative regulation of horizontal cell localization
_	_	GO:1902881	negative regulation of GTPase activity
_	_	GO:1903665	negative regulation of asexual reproduction
_	_	GO:1903828	negative regulation of cellular protein localization
_	_	GO:1904180	negative regulation of membrane depolarization
_	_	GO:2000242	negative regulation of reproductive process
_	_	GO:2000326	negative regulation of ligand-dependent nuclear receptor transcription coactivator activity
_	_	GO:2000355	negative regulation of ovarian follicle development
_	_	GO:2000747	negative regulation of defecation rhythm
_	_	GO:2001107	negative regulation of Rho guanyl-nucleotide exchange factor activity
_	GO:0048590	growth
_	GO:0050789	regulation of biological process
_	_	GO:0002682	regulation of immune system process
_	_	GO:0006792	regulation of sulfur utilization
_	_	GO:0006795	regulation of phosphorus utilization
_	_	GO:0006808	regulation of nitrogen utilization
_	_	GO:0019222	regulation of metabolic process
_	_	GO:0023051	regulation of signaling
_	_	GO:0031341	regulation of cell killing
_	_	GO:0032844	regulation of homeostatic process
_	_	GO:0032879	regulation of localization
_	_	GO:0040008	regulation of growth
_	_	GO:0040012	regulation of locomotion
_	_	GO:0042752	regulation of circadian rhythm
_	_	GO:0043118	negative regulation of biological process
_	_	GO:0043119	positive regulation of biological process
_	_	GO:0043609	regulation of carbon utilization
_	_	GO:0043610	regulation of carbohydrate utilization
_	_	GO:0043900	regulation of multi-organism process
_	_	GO:0044087	regulation of cellular component biogenesis
_	_	GO:0048518	positive regulation of biological process
_	_	GO:0048519	negative regulation of biological process
_	_	GO:0048583	regulation of response to stimulus
_	_	GO:0050793	regulation of developmental process
_	_	GO:0050794	regulation of cellular process
_	_	GO:0051128	regulation of cellular component organization
_	_	GO:0051239	regulation of multicellular organismal process
_	_	GO:0051244	regulation of cellular process
_	_	GO:0051917	regulation of fibrinolysis
_	_	GO:0071898	regulation of estrogen receptor binding
_	_	GO:0097006	regulation of plasma lipoprotein particle levels
_	_	GO:0098900	regulation of action potential
_	_	GO:1900095	regulation of dosage compensation by inactivation of X chromosome
_	_	GO:1900271	regulation of long-term synaptic potentiation
_	_	GO:1900452	regulation of long term synaptic depression
_	_	GO:1902630	regulation of membrane hyperpolarization
_	_	GO:1903664	regulation of asexual reproduction
_	_	GO:2000241	regulation of reproductive process
_	_	GO:2001106	regulation of Rho guanyl-nucleotide exchange factor activity
_	GO:0050791	regulation of biological process
_	GO:0050874	multicellular organismal process
_	GO:0050875	cellular process
_	GO:0050876	reproduction
_	GO:0050896	response to stimulus
_	_	GO:0002021	response to dietary excess
_	_	GO:0006950	response to stress
_	_	GO:0006955	immune response
_	_	GO:0006980	response to redox state
_	_	GO:0009605	response to external stimulus
_	_	GO:0009607	response to biotic stimulus
_	_	GO:0009628	response to abiotic stimulus
_	_	GO:0009719	response to endogenous stimulus
_	_	GO:0014823	response to activity
_	_	GO:0014854	response to inactivity
_	_	GO:0014874	response to stimulus involved in regulation of muscle adaptation
_	_	GO:0042221	response to chemical
_	_	GO:0043500	muscle adaptation
_	_	GO:0048583	regulation of response to stimulus
_	_	GO:0048584	positive regulation of response to stimulus
_	_	GO:0048585	negative regulation of response to stimulus
_	_	GO:0051606	detection of stimulus
_	_	GO:0051716	cellular response to stimulus
_	_	GO:0051775	response to redox state
_	_	GO:0072376	protein activation cascade
_	GO:0051179	localization
_	_	GO:0032879	regulation of localization
_	_	GO:0033036	macromolecule localization
_	_	GO:0035732	nitric oxide storage
_	_	GO:0051234	establishment of localization
_	_	GO:0051235	maintenance of location
_	_	GO:0051641	cellular localization
_	_	GO:0051674	localization of cell
_	_	GO:1902578	single-organism localization
_	_	GO:1902579	multi-organism localization
_	GO:0051704	multi-organism process
_	_	GO:0009405	pathogenesis
_	_	GO:0009613	response to other organism
_	_	GO:0023032	multi-organism behavior
_	_	GO:0035636	multi-organism signaling
_	_	GO:0035821	modification of morphology or physiology of other organism
_	_	GO:0042828	response to other organism
_	_	GO:0043900	regulation of multi-organism process
_	_	GO:0043901	negative regulation of multi-organism process
_	_	GO:0043902	positive regulation of multi-organism process
_	_	GO:0044033	multi-organism metabolic process
_	_	GO:0044110	growth involved in symbiotic interaction
_	_	GO:0044111	development involved in symbiotic interaction
_	_	GO:0044366	feeding on or from other organism
_	_	GO:0044406	adhesion of symbiont to host
_	_	GO:0044419	interspecies interaction between organisms
_	_	GO:0044703	multi-organism reproductive process
_	_	GO:0044706	multi-multicellular organism process
_	_	GO:0044709	multi-organism behavior
_	_	GO:0044764	multi-organism cellular process
_	_	GO:0044766	multi-organism transport
_	_	GO:0044803	multi-organism membrane organization
_	_	GO:0051703	intraspecies interaction between organisms
_	_	GO:0051705	multi-organism behavior
_	_	GO:0051707	response to other organism
_	_	GO:0051825	adhesion of symbiont to host
_	_	GO:0051856	adhesion of symbiont to host
_	_	GO:0098740	multi organism cell adhesion
_	_	GO:1902579	multi-organism localization
_	GO:0051706	multi-organism process
_	GO:0051869	response to stimulus
_	GO:0065007	biological regulation
_	_	GO:0050789	regulation of biological process
_	_	GO:0050791	regulation of biological process
_	_	GO:0050804	regulation of synaptic transmission
_	_	GO:0065008	regulation of biological quality
_	_	GO:0065009	regulation of molecular function
_	_	GO:1903541	regulation of exosomal secretion
_	GO:0071840	cellular component organization or biogenesis
_	_	GO:0016043	cellular component organization
_	_	GO:0044085	cellular component biogenesis
_	_	GO:0044235	cellular component organization
_	_	GO:0071842	cellular component organization
_	_	GO:0071843	cellular component biogenesis
_	GO:0071841	cellular component organization or biogenesis
_	GO:0098743	cell aggregation
_	_	GO:0001502	cartilage condensation
_	_	GO:0098630	aggregation of unicellular organisms
GO:0003674	MF
_	GO:0000988	protein binding transcription factor activity
_	_	GO:0000989	transcription factor binding transcription factor activity
_	_	GO:0000990	core RNA polymerase binding transcription factor activity
_	_	GO:0003710	transcription activator activity
_	_	GO:0016563	transcription activator activity
_	_	GO:0016564	transcription repressor activity
_	_	GO:0016986	transcription initiation factor activity
_	_	GO:0030528	transcription regulator activity
_	GO:0001071	nucleic acid binding transcription factor activity
_	_	GO:0000130	sequence-specific DNA binding transcription factor activity
_	_	GO:0001070	RNA binding transcription factor activity
_	_	GO:0003700	sequence-specific DNA binding transcription factor activity
_	_	GO:0003710	transcription activator activity
_	_	GO:0016563	transcription activator activity
_	_	GO:0016564	transcription repressor activity
_	_	GO:0016986	transcription initiation factor activity
_	_	GO:0030528	transcription regulator activity
_	GO:0003824	catalytic activity
_	_	GO:0000150	recombinase activity
_	_	GO:0000384	first spliceosomal transesterification activity
_	_	GO:0000386	second spliceosomal transesterification activity
_	_	GO:0004133	glycogen debranching enzyme activity
_	_	GO:0004803	transposase activity
_	_	GO:0004804	transposase activity
_	_	GO:0008265	Mo-molybdopterin cofactor sulfurase activity
_	_	GO:0008907	integrase activity
_	_	GO:0008987	quinolinate synthetase A activity
_	_	GO:0009009	site-specific recombinase activity
_	_	GO:0009975	cyclase activity
_	_	GO:0010280	UDP-L-rhamnose synthase activity
_	_	GO:0016217	N-ethylammeline chlorohydrolase activity
_	_	GO:0016491	oxidoreductase activity
_	_	GO:0016740	transferase activity
_	_	GO:0016787	hydrolase activity
_	_	GO:0016829	lyase activity
_	_	GO:0016853	isomerase activity
_	_	GO:0016874	ligase activity
_	_	GO:0019239	deaminase activity
_	_	GO:0030366	molybdopterin synthase activity
_	_	GO:0032451	demethylase activity
_	_	GO:0043336	site-specific telomere resolvase activity
_	_	GO:0043364	catalysis of free radical formation
_	_	GO:0044825	retroviral strand transfer activity
_	_	GO:0046572	versicolorin B synthase activity
_	_	GO:0046905	phytoene synthase activity
_	_	GO:0070283	radical SAM enzyme activity
_	_	GO:1990055	phenylacetaldehyde synthase activity
_	GO:0005085	guanyl-nucleotide exchange factor activity
_	_	GO:0005086	ARF guanyl-nucleotide exchange factor activity
_	_	GO:0005088	Ras guanyl-nucleotide exchange factor activity
_	_	GO:0005090	Sar guanyl-nucleotide exchange factor activity
_	_	GO:0017132	cyclic nucleotide-dependent guanyl-nucleotide exchange factor activity
_	GO:0005198	structural molecule activity
_	_	GO:0003735	structural constituent of ribosome
_	_	GO:0003736	structural constituent of ribosome
_	_	GO:0003737	structural constituent of ribosome
_	_	GO:0003738	structural constituent of ribosome
_	_	GO:0003739	structural constituent of ribosome
_	_	GO:0003740	structural constituent of ribosome
_	_	GO:0003741	structural constituent of ribosome
_	_	GO:0003742	structural constituent of ribosome
_	_	GO:0005199	structural constituent of cell wall
_	_	GO:0005200	structural constituent of cytoskeleton
_	_	GO:0005201	extracellular matrix structural constituent
_	_	GO:0005212	structural constituent of eye lens
_	_	GO:0005213	structural constituent of chorion
_	_	GO:0008147	structural constituent of bone
_	_	GO:0008197	yolk protein
_	_	GO:0008307	structural constituent of muscle
_	_	GO:0015289	pore-forming toxin activity
_	_	GO:0015468	colicin
_	_	GO:0016490	structural constituent of peritrophic membrane
_	_	GO:0017056	structural constituent of nuclear pore
_	_	GO:0019911	structural constituent of myelin sheath
_	_	GO:0030280	structural constituent of epidermis
_	_	GO:0030527	structural constituent of chromatin
_	_	GO:0032947	protein complex scaffold
_	_	GO:0035804	structural constituent of egg coat
_	_	GO:0039660	structural constituent of virion
_	_	GO:0042302	structural constituent of cuticle
_	_	GO:0043886	structural constituent of carboxysome
_	_	GO:0097099	structural constituent of albumen
_	_	GO:0097493	structural molecule activity conferring elasticity
_	GO:0005215	transporter activity
_	_	GO:0005326	neurotransmitter transporter activity
_	_	GO:0005386	transmembrane transporter activity
_	_	GO:0005400	peroxisomal membrane transporter
_	_	GO:0005453	small-molecule carrier or transporter
_	_	GO:0005454	small-molecule carrier or transporter
_	_	GO:0005468	small-molecule carrier or transporter
_	_	GO:0005487	nucleocytoplasmic transporter activity
_	_	GO:0015567	alkane transporter activity
_	_	GO:0015607	fatty-acyl-CoA transporter activity
_	_	GO:0015646	transmembrane transporter activity
_	_	GO:0019534	toxin transporter activity
_	_	GO:0022857	transmembrane transporter activity
_	_	GO:0022892	substrate-specific transporter activity
_	_	GO:0042910	xenobiotic transporter activity
_	_	GO:0042927	siderophore transporter activity
_	_	GO:0043563	odorant transporter activity
_	_	GO:0051183	vitamin transporter activity
_	_	GO:0051184	cofactor transporter activity
_	_	GO:0090484	drug transporter activity
_	_	GO:1901476	carbohydrate transporter activity
_	_	GO:1901505	carbohydrate derivative transporter activity
_	GO:0005478	transporter activity
_	GO:0005488	binding
_	_	GO:0000035	acyl binding
_	_	GO:0001871	pattern binding
_	_	GO:0003682	chromatin binding
_	_	GO:0003823	antigen binding
_	_	GO:0005515	protein binding
_	_	GO:0005529	carbohydrate binding
_	_	GO:0005549	odorant binding
_	_	GO:0008144	drug binding
_	_	GO:0008289	lipid binding
_	_	GO:0008430	selenium binding
_	_	GO:0015643	toxic substance binding
_	_	GO:0019808	polyamine binding
_	_	GO:0019825	oxygen binding
_	_	GO:0030246	carbohydrate binding
_	_	GO:0031409	pigment binding
_	_	GO:0033218	amide binding
_	_	GO:0033226	2-aminoethylphosphonate binding
_	_	GO:0035730	S-nitrosoglutathione binding
_	_	GO:0035731	dinitrosyl-iron complex binding
_	_	GO:0035923	flurbiprofen binding
_	_	GO:0036094	small molecule binding
_	_	GO:0042165	neurotransmitter binding
_	_	GO:0042562	hormone binding
_	_	GO:0043021	ribonucleoprotein complex binding
_	_	GO:0043167	ion binding
_	_	GO:0043176	amine binding
_	_	GO:0043287	poly(3-hydroxyalkanoate) binding
_	_	GO:0044877	macromolecular complex binding
_	_	GO:0045308	protein binding
_	_	GO:0046790	virion binding
_	_	GO:0046812	host cell surface binding
_	_	GO:0046848	hydroxyapatite binding
_	_	GO:0046904	calcium oxalate binding
_	_	GO:0048037	cofactor binding
_	_	GO:0050436	microfibril binding
_	_	GO:0050824	water binding
_	_	GO:0050840	extracellular matrix binding
_	_	GO:0050997	quaternary ammonium group binding
_	_	GO:0051540	metal cluster binding
_	_	GO:0060090	binding, bridging
_	_	GO:0070026	nitric oxide binding
_	_	GO:0071814	protein-lipid complex binding
_	_	GO:0072328	alkene binding
_	_	GO:0072341	modified amino acid binding
_	_	GO:0097159	organic cyclic compound binding
_	_	GO:0097243	flavonoid binding
_	_	GO:0097367	carbohydrate derivative binding
_	_	GO:1901363	heterocyclic compound binding
_	_	GO:1901567	fatty acid derivative binding
_	_	GO:1901681	sulfur compound binding
_	_	GO:1902670	carbon dioxide binding
_	_	GO:1904012	platinum binding
_	_	GO:1904013	xenon atom binding
_	_	GO:1990458	lipooligosaccharide binding
_	GO:0008433	guanyl-nucleotide exchange factor activity
_	GO:0009053	electron carrier activity
_	GO:0009054	electron carrier activity
_	GO:0009055	electron carrier activity
_	_	GO:0000047	Rieske iron-sulfur protein
_	_	GO:0004129	cytochrome-c oxidase activity
_	_	GO:0009460	cytochrome b
_	_	GO:0009462	cytochrome d
_	_	GO:0009464	cytochrome b5
_	_	GO:0009466	class I cytochrome c
_	_	GO:0009467	monoheme class I cytochrome c
_	_	GO:0009468	diheme class I cytochrome c
_	_	GO:0009469	class II cytochrome c
_	_	GO:0009470	class IIa cytochrome c
_	_	GO:0009471	class III cytochrome c
_	_	GO:0009472	cytochrome c3 (tetraheme)
_	_	GO:0009473	cytochrome c7 (triheme)
_	_	GO:0009474	nonaheme cytochrome c
_	_	GO:0009475	high-molecular-weight cytochrome c (hexadecaheme)
_	_	GO:0009476	class IV cytochrome c
_	_	GO:0009478	cytochrome c554
_	_	GO:0009480	class IIb cytochrome c
_	_	GO:0015005	azurin
_	_	GO:0015007	electron carrier, chlorophyll electron transport system
_	_	GO:0018997	electron transfer carrier
_	_	GO:0030067	respiratory chain cytochrome b6
_	_	GO:0045153	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity
_	_	GO:0045154	electron transporter, transferring electrons within cytochrome c oxidase complex activity
_	_	GO:0045155	electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity
