id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_fdr	namespace	genes_in_study
GO:0019395	e	fatty acid oxidation	12/1193	23/12296	3.23E-07	0	biological_process	PLEOSDRAFT_41213;PLEOSDRAFT_1053846;PLEOSDRAFT_48714;PLEOSDRAFT_1112695;PLEOSDRAFT_1102839;PLEOSDRAFT_185903;PLEOSDRAFT_50782;PLEOSDRAFT_1107810;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1110547;PLEOSDRAFT_1092991
GO:0009142	e	nucleoside triphosphate biosynthetic process	23/1193	59/12296	3.24E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061059;PLEOSDRAFT_1090849;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_26034;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1052542;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1113638
GO:0017001	e	antibiotic catabolic process	16/1193	31/12296	3.30E-07	0	biological_process	PLEOSDRAFT_1089359;PLEOSDRAFT_1071241;PLEOSDRAFT_1091892;PLEOSDRAFT_1067024;PLEOSDRAFT_1035257;PLEOSDRAFT_1088775;PLEOSDRAFT_1114338;PLEOSDRAFT_1091136;PLEOSDRAFT_21661;PLEOSDRAFT_1063808;PLEOSDRAFT_1054346;PLEOSDRAFT_1092884;PLEOSDRAFT_1110467;PLEOSDRAFT_1090305;PLEOSDRAFT_1089338;PLEOSDRAFT_1090819
GO:0016469	e	proton-transporting two-sector ATPase complex	14/1193	31/12296	3.30E-07	0	cellular_component	PLEOSDRAFT_1061059;PLEOSDRAFT_1091251;PLEOSDRAFT_1090211;PLEOSDRAFT_1064050;PLEOSDRAFT_1090158;PLEOSDRAFT_1061285;PLEOSDRAFT_1091920;PLEOSDRAFT_1056310;PLEOSDRAFT_1095758;PLEOSDRAFT_1057010;PLEOSDRAFT_1094816;PLEOSDRAFT_1066202;PLEOSDRAFT_1088731;PLEOSDRAFT_1113638
GO:0015985	e	"energy coupled proton transport, down electrochemical gradient"	10/1193	16/12296	3.31E-07	0	biological_process	PLEOSDRAFT_1061059;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1056310;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088731;PLEOSDRAFT_1113638
GO:0015986	e	ATP synthesis coupled proton transport	10/1193	16/12296	3.31E-07	0	biological_process	PLEOSDRAFT_1061059;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1056310;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088731;PLEOSDRAFT_1113638
GO:0002182	e	cytoplasmic translational elongation	14/1193	27/12296	3.46E-07	0	biological_process	PLEOSDRAFT_1070256;PLEOSDRAFT_1090404;PLEOSDRAFT_1098711;PLEOSDRAFT_1054789;PLEOSDRAFT_1072569;PLEOSDRAFT_1067979;PLEOSDRAFT_1089864;PLEOSDRAFT_1088686;PLEOSDRAFT_1101247;PLEOSDRAFT_1067950;PLEOSDRAFT_1062078;PLEOSDRAFT_1053942;PLEOSDRAFT_60644;PLEOSDRAFT_1089421
GO:0070469	e	respiratory chain	23/1193	40/12296	3.69E-07	0	cellular_component	PLEOSDRAFT_172351;PLEOSDRAFT_1068494;PLEOSDRAFT_1113744;PLEOSDRAFT_1051730;PLEOSDRAFT_38932;PLEOSDRAFT_45967;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1089179;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1094413;PLEOSDRAFT_1060326;PLEOSDRAFT_1092169;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116;PLEOSDRAFT_1051773
GO:0005746	e	mitochondrial respiratory chain	23/1193	40/12296	3.69E-07	0	cellular_component	PLEOSDRAFT_172351;PLEOSDRAFT_1068494;PLEOSDRAFT_1113744;PLEOSDRAFT_1051730;PLEOSDRAFT_38932;PLEOSDRAFT_45967;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1089179;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1094413;PLEOSDRAFT_1060326;PLEOSDRAFT_1092169;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116;PLEOSDRAFT_1051773
GO:0042776	e	mitochondrial ATP synthesis coupled proton transport	9/1193	13/12296	3.69E-07	0	biological_process	PLEOSDRAFT_1061059;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1056310;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1113638
GO:0006006	e	glucose metabolic process	18/1193	45/12296	4.23E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_174437;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_160448;PLEOSDRAFT_1110825;PLEOSDRAFT_51607;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_46913;PLEOSDRAFT_1090672;PLEOSDRAFT_41319;PLEOSDRAFT_1097340;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1064869;PLEOSDRAFT_1089535;PLEOSDRAFT_1110500
GO:0009132	e	nucleoside diphosphate metabolic process	19/1193	50/12296	4.51E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061588;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_160448;PLEOSDRAFT_1110825;PLEOSDRAFT_26034;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_46913;PLEOSDRAFT_1090672;PLEOSDRAFT_41319;PLEOSDRAFT_1052542;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869
GO:0098800	e	inner mitochondrial membrane protein complex	34/1193	82/12296	5.00E-07	0	cellular_component	PLEOSDRAFT_172351;PLEOSDRAFT_1068494;PLEOSDRAFT_1060652;PLEOSDRAFT_1051730;PLEOSDRAFT_1061059;PLEOSDRAFT_38932;PLEOSDRAFT_45967;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1089179;PLEOSDRAFT_14943;PLEOSDRAFT_1088582;PLEOSDRAFT_1088400;PLEOSDRAFT_1112708;PLEOSDRAFT_1087668;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1060326;PLEOSDRAFT_1056310;PLEOSDRAFT_1092169;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_175713;PLEOSDRAFT_1072578;PLEOSDRAFT_1088731;PLEOSDRAFT_1059116;PLEOSDRAFT_1113638;PLEOSDRAFT_1051773
GO:0062039	e	biofilm matrix	13/1193	20/12296	5.04E-07	0	cellular_component	PLEOSDRAFT_1089851;PLEOSDRAFT_1087624;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1075708;PLEOSDRAFT_1075285;PLEOSDRAFT_1063312;PLEOSDRAFT_47087;PLEOSDRAFT_1064157;PLEOSDRAFT_1103290;PLEOSDRAFT_166613;PLEOSDRAFT_1064869
GO:0062040	e	fungal biofilm matrix	13/1193	20/12296	5.04E-07	0	cellular_component	PLEOSDRAFT_1089851;PLEOSDRAFT_1087624;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_1087719;PLEOSDRAFT_1075708;PLEOSDRAFT_1075285;PLEOSDRAFT_1063312;PLEOSDRAFT_47087;PLEOSDRAFT_1064157;PLEOSDRAFT_1103290;PLEOSDRAFT_166613;PLEOSDRAFT_1064869
GO:0006083	e	acetate metabolic process	11/1193	20/12296	5.04E-07	0	biological_process	PLEOSDRAFT_1089359;PLEOSDRAFT_1071241;PLEOSDRAFT_1067024;PLEOSDRAFT_1035257;PLEOSDRAFT_1088775;PLEOSDRAFT_1114338;PLEOSDRAFT_1091136;PLEOSDRAFT_1092884;PLEOSDRAFT_1089535;PLEOSDRAFT_1089338;PLEOSDRAFT_1088056
GO:0009199	e	ribonucleoside triphosphate metabolic process	45/1193	88/12296	5.43E-07	0	biological_process	PLEOSDRAFT_172351;PLEOSDRAFT_1087915;PLEOSDRAFT_1068494;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1113744;PLEOSDRAFT_1051730;PLEOSDRAFT_1061059;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1088582;PLEOSDRAFT_160448;PLEOSDRAFT_1088400;PLEOSDRAFT_1087668;PLEOSDRAFT_1110825;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1037970;PLEOSDRAFT_1064050;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_46913;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_186026;PLEOSDRAFT_1091387;PLEOSDRAFT_41319;PLEOSDRAFT_1088230;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088542;PLEOSDRAFT_1052542;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1041821;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1059116;PLEOSDRAFT_1113638
GO:0019362	e	pyridine nucleotide metabolic process	32/1193	94/12296	5.74E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_1089134;PLEOSDRAFT_1097688;PLEOSDRAFT_160448;PLEOSDRAFT_1092865;PLEOSDRAFT_48714;PLEOSDRAFT_1110825;PLEOSDRAFT_1034076;PLEOSDRAFT_1035257;PLEOSDRAFT_1054035;PLEOSDRAFT_172379;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_46913;PLEOSDRAFT_1090672;PLEOSDRAFT_1114338;PLEOSDRAFT_41319;PLEOSDRAFT_62350;PLEOSDRAFT_1036484;PLEOSDRAFT_1092884;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088946;PLEOSDRAFT_1060869;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_28295;PLEOSDRAFT_1067970
GO:0015672	e	monovalent inorganic cation transport	28/1193	100/12296	5.94E-07	0	biological_process	PLEOSDRAFT_1091979;PLEOSDRAFT_1095022;PLEOSDRAFT_24815;PLEOSDRAFT_1061059;PLEOSDRAFT_38932;PLEOSDRAFT_49912;PLEOSDRAFT_1071775;PLEOSDRAFT_1087668;PLEOSDRAFT_1091251;PLEOSDRAFT_1090211;PLEOSDRAFT_1094413;PLEOSDRAFT_1092785;PLEOSDRAFT_1064050;PLEOSDRAFT_1090158;PLEOSDRAFT_1061285;PLEOSDRAFT_1091920;PLEOSDRAFT_41780;PLEOSDRAFT_1056310;PLEOSDRAFT_24093;PLEOSDRAFT_1092650;PLEOSDRAFT_1095758;PLEOSDRAFT_1057010;PLEOSDRAFT_1093122;PLEOSDRAFT_1110948;PLEOSDRAFT_1094816;PLEOSDRAFT_1066202;PLEOSDRAFT_1088731;PLEOSDRAFT_1113638
GO:0015934	e	large ribosomal subunit	47/1193	106/12296	6.02E-07	0	cellular_component	PLEOSDRAFT_1063630;PLEOSDRAFT_1053876;PLEOSDRAFT_1090404;PLEOSDRAFT_1060402;PLEOSDRAFT_1080042;PLEOSDRAFT_1055807;PLEOSDRAFT_1058122;PLEOSDRAFT_1055401;PLEOSDRAFT_1077820;PLEOSDRAFT_1087818;PLEOSDRAFT_1063873;PLEOSDRAFT_1070894;PLEOSDRAFT_1088261;PLEOSDRAFT_1088565;PLEOSDRAFT_1044894;PLEOSDRAFT_1088526;PLEOSDRAFT_1089864;PLEOSDRAFT_1089796;PLEOSDRAFT_1096304;PLEOSDRAFT_1055325;PLEOSDRAFT_1064355;PLEOSDRAFT_30562;PLEOSDRAFT_1053176;PLEOSDRAFT_1091506;PLEOSDRAFT_45869;PLEOSDRAFT_1112019;PLEOSDRAFT_1051587;PLEOSDRAFT_1016358;PLEOSDRAFT_1068380;PLEOSDRAFT_1062078;PLEOSDRAFT_1087603;PLEOSDRAFT_49420;PLEOSDRAFT_1108253;PLEOSDRAFT_1025128;PLEOSDRAFT_1054560;PLEOSDRAFT_1060612;PLEOSDRAFT_1111838;PLEOSDRAFT_1108254;PLEOSDRAFT_1096799;PLEOSDRAFT_1092339;PLEOSDRAFT_1051744;PLEOSDRAFT_1089520;PLEOSDRAFT_1038239;PLEOSDRAFT_1062010;PLEOSDRAFT_1089909;PLEOSDRAFT_1055341;PLEOSDRAFT_186159
GO:0009206	e	purine ribonucleoside triphosphate biosynthetic process	21/1193	46/12296	6.10E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061059;PLEOSDRAFT_1090849;PLEOSDRAFT_1071775;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_1057010;PLEOSDRAFT_1066202;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1113638
GO:0022627	e	cytosolic small ribosomal subunit	33/1193	56/12296	6.28E-07	0	cellular_component	PLEOSDRAFT_1053977;PLEOSDRAFT_1070466;PLEOSDRAFT_1089478;PLEOSDRAFT_1053014;PLEOSDRAFT_1054789;PLEOSDRAFT_1091806;PLEOSDRAFT_1087561;PLEOSDRAFT_39703;PLEOSDRAFT_1089494;PLEOSDRAFT_1089796;PLEOSDRAFT_1057271;PLEOSDRAFT_1067221;PLEOSDRAFT_155108;PLEOSDRAFT_1064353;PLEOSDRAFT_1068404;PLEOSDRAFT_28314;PLEOSDRAFT_1062741;PLEOSDRAFT_4300;PLEOSDRAFT_1063761;PLEOSDRAFT_1113129;PLEOSDRAFT_1112875;PLEOSDRAFT_1038004;PLEOSDRAFT_1054562;PLEOSDRAFT_1089059;PLEOSDRAFT_1055766;PLEOSDRAFT_1089113;PLEOSDRAFT_1065257;PLEOSDRAFT_1113860;PLEOSDRAFT_1053942;PLEOSDRAFT_1089421;PLEOSDRAFT_1066177;PLEOSDRAFT_1064969;PLEOSDRAFT_1062835
GO:0016999	e	antibiotic metabolic process	39/1193	131/12296	6.62E-07	0	biological_process	PLEOSDRAFT_1091334;PLEOSDRAFT_1064180;PLEOSDRAFT_1068494;PLEOSDRAFT_1054058;PLEOSDRAFT_1089359;PLEOSDRAFT_1071241;PLEOSDRAFT_1091892;PLEOSDRAFT_1075708;PLEOSDRAFT_1055998;PLEOSDRAFT_160448;PLEOSDRAFT_48714;PLEOSDRAFT_1067024;PLEOSDRAFT_1110825;PLEOSDRAFT_1035257;PLEOSDRAFT_1054035;PLEOSDRAFT_46913;PLEOSDRAFT_1088775;PLEOSDRAFT_1114338;PLEOSDRAFT_1091387;PLEOSDRAFT_1073916;PLEOSDRAFT_1091136;PLEOSDRAFT_21661;PLEOSDRAFT_41319;PLEOSDRAFT_1058547;PLEOSDRAFT_1090064;PLEOSDRAFT_1063808;PLEOSDRAFT_1054346;PLEOSDRAFT_1092884;PLEOSDRAFT_1110467;PLEOSDRAFT_1090305;PLEOSDRAFT_1072578;PLEOSDRAFT_61715;PLEOSDRAFT_1089535;PLEOSDRAFT_1065325;PLEOSDRAFT_1089338;PLEOSDRAFT_1088858;PLEOSDRAFT_1090652;PLEOSDRAFT_1088056;PLEOSDRAFT_1090819
GO:0005996	e	monosaccharide metabolic process	25/1193	89/12296	6.87E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095022;PLEOSDRAFT_174437;PLEOSDRAFT_1095192;PLEOSDRAFT_1103567;PLEOSDRAFT_1091892;PLEOSDRAFT_1090849;PLEOSDRAFT_160448;PLEOSDRAFT_1110825;PLEOSDRAFT_1053140;PLEOSDRAFT_51607;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_46913;PLEOSDRAFT_1090672;PLEOSDRAFT_1057169;PLEOSDRAFT_41319;PLEOSDRAFT_1097340;PLEOSDRAFT_1036484;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088946;PLEOSDRAFT_1064869;PLEOSDRAFT_1089535;PLEOSDRAFT_1110500
GO:1990204	e	oxidoreductase complex	28/1193	89/12296	6.87E-07	0	cellular_component	PLEOSDRAFT_1091334;PLEOSDRAFT_172351;PLEOSDRAFT_1064180;PLEOSDRAFT_1068494;PLEOSDRAFT_1087986;PLEOSDRAFT_1091974;PLEOSDRAFT_1051730;PLEOSDRAFT_1063015;PLEOSDRAFT_45967;PLEOSDRAFT_1071775;PLEOSDRAFT_1089179;PLEOSDRAFT_1088400;PLEOSDRAFT_1068763;PLEOSDRAFT_1054035;PLEOSDRAFT_1078749;PLEOSDRAFT_26034;PLEOSDRAFT_1060326;PLEOSDRAFT_1092169;PLEOSDRAFT_1091387;PLEOSDRAFT_1088230;PLEOSDRAFT_1101706;PLEOSDRAFT_1088542;PLEOSDRAFT_1066516;PLEOSDRAFT_1072578;PLEOSDRAFT_1059116;PLEOSDRAFT_1039228;PLEOSDRAFT_62392;PLEOSDRAFT_1051773
GO:0009124	e	nucleoside monophosphate biosynthetic process	29/1193	89/12296	6.87E-07	0	biological_process	PLEOSDRAFT_1087915;PLEOSDRAFT_1095873;PLEOSDRAFT_174437;PLEOSDRAFT_1061588;PLEOSDRAFT_1061059;PLEOSDRAFT_1090849;PLEOSDRAFT_1071775;PLEOSDRAFT_1111211;PLEOSDRAFT_1089042;PLEOSDRAFT_1091251;PLEOSDRAFT_1094413;PLEOSDRAFT_1064050;PLEOSDRAFT_1063312;PLEOSDRAFT_1088585;PLEOSDRAFT_1056310;PLEOSDRAFT_1090672;PLEOSDRAFT_1111981;PLEOSDRAFT_1057010;PLEOSDRAFT_1073446;PLEOSDRAFT_1066202;PLEOSDRAFT_1103290;PLEOSDRAFT_1088861;PLEOSDRAFT_1090663;PLEOSDRAFT_1088731;PLEOSDRAFT_1064864;PLEOSDRAFT_1064869;PLEOSDRAFT_1113638;PLEOSDRAFT_1088759;PLEOSDRAFT_1087553
GO:0006631	e	fatty acid metabolic process	33/1193	125/12296	6.92E-07	0	biological_process	PLEOSDRAFT_1064711;PLEOSDRAFT_41213;PLEOSDRAFT_1094779;PLEOSDRAFT_1089359;PLEOSDRAFT_1068722;PLEOSDRAFT_1053846;PLEOSDRAFT_173665;PLEOSDRAFT_48714;PLEOSDRAFT_1068548;PLEOSDRAFT_1067024;PLEOSDRAFT_1112695;PLEOSDRAFT_1102839;PLEOSDRAFT_185903;PLEOSDRAFT_1088775;PLEOSDRAFT_50782;PLEOSDRAFT_1055720;PLEOSDRAFT_1068698;PLEOSDRAFT_1107810;PLEOSDRAFT_1090291;PLEOSDRAFT_1058547;PLEOSDRAFT_1090334;PLEOSDRAFT_1088347;PLEOSDRAFT_1054697;PLEOSDRAFT_1054346;PLEOSDRAFT_1111461;PLEOSDRAFT_1110547;PLEOSDRAFT_1110467;PLEOSDRAFT_1050437;PLEOSDRAFT_61715;PLEOSDRAFT_1092991;PLEOSDRAFT_1089338;PLEOSDRAFT_1088755;PLEOSDRAFT_1088056
