# Constructed from biom file
#OTU ID	CAKB1	CAKB2	CAKB3	CAKB4	CAKB5	CAKB6	CADZ1	CADZ2	CADZ3	CADZ4	CADZ5	CADZ6	CAA31	CAA35	CAB21	CAB22	CAB23	CAB31	CAB32	CAC31	CAC32	CAC33	CAC34	CAC36	CAKB7	CAKB8	CAKB9	CAKB10	CAKB11	CAKB12	CADZ7	CADZ8	CADZ9	CADZ10	CADZ11	CADZ12	CAIF1	CAIF2	CAIF3	CAIF5	CAIF6
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales	1686.0	3638.0	2820.0	1671.0	4107.0	909.0	5021.0	2836.0	2203.0	4659.0	2089.0	2421.0	2020.0	317.0	322.0	40.0	1336.0	97.0	29.0	201.0	267.0	96.0	2597.0	163.0	671.0	970.0	62.0	3449.0	5425.0	60.0	288.0	207.0	73.0	162.0	1899.0	1311.0	231.0	392.0	67.0	232.0	128.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales	8.0	0.0	11.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	15.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	10.0	3.0	1.0	1.0	1.0	0.0	0.0	3.0	0.0	15.0	0.0	1.0	0.0	2.0	1.0	1.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales	95.0	445.0	270.0	78.0	15.0	100.0	40.0	34.0	20.0	80.0	62.0	77.0	2868.0	14.0	1006.0	10.0	24.0	1.0	5.0	27.0	7.0	20.0	1184.0	51.0	14.0	229.0	72.0	62.0	77.0	12.0	43.0	19.0	36.0	29.0	54.0	127.0	221.0	145.0	168.0	177.0	102.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micromonosporales	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__PeM15	1.0	6.0	185.0	353.0	38.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	3.0	355.0	8.0	0.0	0.0	0.0	1.0	1.0	5.0	3469.0	62.0	2.0	598.0	64.0	57.0	48.0	15.0	89.0	7.0	127.0	60.0	101.0	5.0	127.0	337.0	232.0	138.0	55.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales	1.0	0.0	9.0	25.0	1.0	4.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	316.0	1.0	0.0	28.0	3.0	0.0	0.0	0.0	4.0	0.0	14.0	13.0	0.0	0.0	1.0	6.0	1.0	11.0	2.0
d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales	11.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	205.0	0.0	5.0	0.0	0.0	1.0	17.0	2.0	1.0	3.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	11.0	93.0	9.0	1.0	14.0	2.0	45.0	43.0	4.0	32.0	20.0	13.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	2.0	47.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	6.0	0.0	33.0	51.0	0.0	1.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__MB-A2-108;o__norank	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales	36.0	14.0	4.0	1.0	2.0	2.0	11.0	18.0	8.0	13.0	3.0	6.0	6.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	3.0	5.0	0.0	20.0	15.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
d__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	0.0	2.0	6.0	12.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	3.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	2.0	0.0	0.0	1.0	0.0	0.0	3.0	5.0	6.0	0.0	5.0	4.0	1.0	1.0	1.0
d__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	0.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	10.0	0.0	0.0	1.0	0.0	8.0	1.0	0.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	4050.0	3054.0	2452.0	553.0	2340.0	7116.0	3471.0	5407.0	6079.0	3385.0	2117.0	3609.0	2214.0	1328.0	817.0	3579.0	6951.0	1333.0	1931.0	9521.0	7603.0	8086.0	148.0	1278.0	686.0	265.0	5780.0	447.0	2036.0	6215.0	3464.0	4773.0	3628.0	6030.0	2534.0	668.0	3908.0	2679.0	5054.0	3589.0	4372.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Chitinophagales	205.0	49.0	654.0	2709.0	48.0	28.0	130.0	221.0	28.0	52.0	42.0	129.0	230.0	31.0	1518.0	957.0	27.0	0.0	9.0	60.0	8.0	75.0	116.0	763.0	142.0	226.0	2790.0	84.0	171.0	2522.0	2491.0	108.0	2689.0	3328.0	99.0	38.0	2815.0	2489.0	6081.0	4245.0	2981.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Cytophagales	1.0	31.0	20.0	99.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	20.0	26.0	12.0	159.0	30.0	0.0	141.0	260.0	4.0	58.0	57.0	7.0	1.0	283.0	57.0	93.0	102.0	79.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales	19.0	323.0	129.0	887.0	35.0	95.0	7.0	196.0	0.0	2.0	3631.0	71.0	755.0	95.0	912.0	3287.0	24.0	1.0	25.0	188.0	5.0	161.0	87.0	322.0	33.0	51.0	468.0	4.0	31.0	393.0	554.0	39.0	352.0	663.0	27.0	3.0	445.0	273.0	1067.0	696.0	380.0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Sphingobacteriales	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	2.0	1.0	5.0	110.0	4.0	1.0	0.0	0.0	2.0	3.0	0.0	76.0	0.0	0.0	37.0	10.0	5.0	45.0	102.0	16.0	0.0	36.0	39.0	3.0	18.0	6.0
d__Bacteria;p__Bacteroidetes;c__Ignavibacteria;o__OPB56	5.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	10.0	0.0	410.0	0.0	0.0	280.0	31.0	1.0	151.0	79.0	0.0	0.0	48.0	113.0	13.0	59.0	20.0
d__Bacteria;p__Bacteroidetes;c__Rhodothermia;o__Rhodothermales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chlamydiae;c__Chlamydiae;o__Chlamydiales	21.0	60.0	63.0	262.0	31.0	1.0	0.0	0.0	0.0	0.0	9.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	8.0	1.0	0.0	178.0	13.0	0.0	7.0	19.0	0.0	0.0	1.0	1.0	4.0	0.0	41.0	0.0	0.0	6.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales	1.0	11.0	1.0	3.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9	0.0	5.0	2.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	0.0	1.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales	2.0	2.0	7.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	17.0	1.0	0.0	3.0	1.0	0.0	1.0	3.0	21.0	2.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	5.0	9.0	1.0	0.0
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__norank	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Gastranaerophilales	10.0	40.0	0.0	0.0	3.0	3.0	39.0	0.0	0.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Melainabacteria;o__Obscuribacterales	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast	8.0	1.0	17.0	2.0	0.0	28.0	10.0	3.0	0.0	1363.0	8.0	3.0	1.0	127.0	312.0	26.0	23.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	0.0	7.0	7.0	33.0	2.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Nostocales	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Oxyphotobacteria Incertae Sedis	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__norank	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales	4.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	11.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Lineage IV	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Elusimicrobia;c__Endomicrobia;o__Endomicrobiales	0.0	0.0	0.0	1.0	0.0	9.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria;o__Campylobacterales	12.0	15.0	5.0	0.0	8.0	3.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	4.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	313.0	0.0	4.0	3.0	790.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fibrobacteres;c__Fibrobacteria;o__Fibrobacterales	98.0	60.0	36.0	18.0	54.0	21.0	89.0	49.0	159.0	64.0	65.0	58.0	54.0	3.0	5.0	0.0	173.0	0.0	0.0	31.0	215.0	1.0	2.0	2.0	21.0	0.0	0.0	0.0	75.0	1.0	42.0	36.0	301.0	4.0	16.0	0.0	0.0	4.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__BRH-c20a;o__norank	2.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	4.0	1.0	2.0	2.0	0.0	1.0	1.0	8.0	32.0	12.0	5.0	18.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	12.0	0.0	1.0	2.0	0.0	3.0	29.0	0.0	2.0	0.0	10.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	15.0	2336.0	17.0	2.0	9.0	4.0	24.0	9.0	151.0	169.0	6.0	22.0	9.0	1.0	1.0	0.0	6.0	2.0	0.0	8.0	71.0	102.0	3.0	0.0	5.0	7.0	0.0	4.0	37.0	2.0	5.0	4.0	0.0	2.0	2.0	1.0	1.0	0.0	0.0	0.0	1.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	7323.0	8258.0	1474.0	688.0	1983.0	1205.0	4892.0	6870.0	7547.0	5303.0	3366.0	3650.0	781.0	108.0	212.0	21.0	12630.0	71.0	5.0	2619.0	11019.0	651.0	218.0	69.0	850.0	380.0	47.0	656.0	2057.0	48.0	2129.0	2848.0	9444.0	188.0	2414.0	954.0	12.0	127.0	8.0	4.0	4.0
d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales	191.0	166.0	431.0	529.0	79.0	3862.0	93.0	270.0	90.0	136.0	425.0	173.0	913.0	2237.0	4179.0	3037.0	135.0	702.0	584.0	599.0	194.0	3620.0	1045.0	1673.0	168.0	521.0	5227.0	74.0	17.0	4833.0	2746.0	2939.0	2323.0	5185.0	283.0	145.0	2906.0	1761.0	2442.0	5048.0	4488.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales	877.0	892.0	851.0	124.0	1117.0	203.0	980.0	1024.0	1473.0	866.0	559.0	944.0	396.0	16.0	24.0	0.0	1700.0	8.0	0.0	419.0	2699.0	9.0	15.0	16.0	146.0	34.0	11.0	78.0	429.0	7.0	694.0	1515.0	242.0	63.0	711.0	259.0	0.0	29.0	0.0	1.0	1.0
d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	550.0	219.0	2074.0	5249.0	390.0	7249.0	21.0	747.0	10.0	27.0	3807.0	331.0	11634.0	19147.0	8883.0	10768.0	294.0	27373.0	23104.0	6013.0	18.0	10318.0	2763.0	17198.0	850.0	6065.0	7841.0	151.0	25.0	8402.0	2684.0	7867.0	2217.0	6098.0	1441.0	92.0	7686.0	4547.0	6152.0	6231.0	8414.0
d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Kiritimatiellaeota;c__Kiritimatiellae;o__WCHB1-41	3.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Nitrospirae;c__4-29-1;o__norank	0.0	0.0	0.0	0.0	7.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Gracilibacteria;o__Absconditabacteriales (SR1)	0.0	7.0	13.0	0.0	0.0	1.0	20.0	0.0	10.0	0.0	0.0	118.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
