# Constructed from biom file
#OTU ID	CAKB1	CAKB2	CAKB3	CAKB4	CAKB5	CAKB6	CADZ1	CADZ2	CADZ3	CADZ4	CADZ5	CADZ6	CAA31	CAA35	CAB21	CAB22	CAB23	CAB31	CAB32	CAC31	CAC32	CAC33	CAC34	CAC36	CAKB7	CAKB8	CAKB9	CAKB10	CAKB11	CAKB12	CADZ7	CADZ8	CADZ9	CADZ10	CADZ11	CADZ12	CAIF1	CAIF2	CAIF3	CAIF5	CAIF6	taxonomy
OTU11	0.0	0.0	6.0	9.0	0.0	2475.0	2.0	17.0	0.0	0.0	0.0	0.0	44.0	4.0	89.0	309.0	1.0	0.0	13.0	575.0	0.0	1179.0	0.0	7.0	21.0	42.0	540.0	3.0	0.0	665.0	565.0	671.0	645.0	1315.0	22.0	0.0	1475.0	1260.0	2504.0	918.0	2334.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__uncultured; s__uncultured bacterium
OTU12	0.0	0.0	10.0	3.0	0.0	1174.0	8.0	11.0	0.0	1.0	1.0	0.0	23.0	21.0	15.0	513.0	0.0	11.0	318.0	656.0	0.0	923.0	2.0	584.0	15.0	4.0	1251.0	1.0	0.0	1153.0	271.0	406.0	860.0	2324.0	67.0	1.0	1428.0	776.0	882.0	1464.0	832.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__uncultured; s__uncultured bacterium
OTU13	7.0	15.0	35.0	34.0	5.0	505.0	0.0	12.0	0.0	0.0	0.0	0.0	48.0	557.0	79.0	89.0	3.0	272.0	121.0	148.0	0.0	1063.0	34.0	85.0	11.0	23.0	223.0	2.0	0.0	301.0	338.0	74.0	286.0	307.0	28.0	0.0	1264.0	279.0	472.0	2978.0	1690.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dielma; s__uncultured bacterium
OTU14	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1281.0	0.0	74.0	0.0	79.0	0.0	14.0	7.0	50.0	1.0	108.0	8828.0	2.0	3402.0	0.0	1.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas
OTU15	412.0	467.0	198.0	177.0	676.0	94.0	1693.0	1523.0	967.0	944.0	155.0	539.0	81.0	22.0	39.0	1.0	100.0	14.0	2.0	3.0	76.0	3.0	174.0	28.0	166.0	57.0	1.0	376.0	612.0	1.0	180.0	83.0	11.0	16.0	131.0	2039.0	14.0	130.0	4.0	6.0	29.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas
OTU16	186.0	390.0	153.0	451.0	2766.0	27.0	446.0	520.0	380.0	493.0	57.0	409.0	34.0	29.0	26.0	2.0	71.0	16.0	1.0	7.0	52.0	8.0	235.0	24.0	142.0	257.0	2.0	554.0	1938.0	2.0	40.0	56.0	9.0	13.0	1182.0	305.0	11.0	52.0	4.0	5.0	24.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus
OTU17	10.0	6.0	8.0	12.0	0.0	424.0	2.0	122.0	0.0	6.0	0.0	0.0	543.0	573.0	184.0	599.0	13.0	149.0	349.0	2069.0	1.0	2008.0	12.0	185.0	79.0	13.0	1073.0	1.0	0.0	1348.0	223.0	133.0	122.0	274.0	2.0	3.0	198.0	161.0	537.0	300.0	437.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured bacterium
OTU18	17.0	5.0	135.0	152.0	7.0	739.0	4.0	44.0	0.0	0.0	27.0	2.0	279.0	77.0	1106.0	861.0	6.0	9.0	2.0	15.0	0.0	156.0	275.0	196.0	45.0	67.0	1219.0	16.0	0.0	1267.0	643.0	571.0	355.0	903.0	44.0	8.0	248.0	196.0	593.0	384.0	290.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__ZOR0006; s__uncultured bacterium
OTU19	3.0	0.0	43.0	1064.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	9.0	16.0	4.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	15.0	16.0	26.0	666.0	6.0	0.0	549.0	574.0	39.0	750.0	897.0	52.0	0.0	1082.0	612.0	1022.0	1694.0	670.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Dinghuibacter; s__uncultured Bacteroidetes bacterium
OTU20	12.0	0.0	48.0	200.0	8.0	24.0	3.0	187.0	4.0	5.0	41.0	3.0	42.0	1.0	586.0	820.0	20.0	3.0	13.0	7.0	1.0	10.0	25.0	159.0	64.0	0.0	464.0	0.0	0.0	376.0	766.0	47.0	164.0	364.0	21.0	1.0	1153.0	791.0	472.0	1733.0	754.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Pelomonas; s__uncultured bacterium
OTU21	0.0	0.0	11.0	55.0	6.0	10.0	2.0	2.0	0.0	0.0	3.0	0.0	29.0	4.0	12.0	32.0	1.0	1.0	10.0	167.0	0.0	362.0	115.0	441.0	25.0	1479.0	635.0	9.0	6.0	668.0	217.0	464.0	381.0	619.0	257.0	1.0	1295.0	334.0	420.0	1235.0	446.0	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Cetobacterium; s__uncultured bacterium
OTU22	1.0	0.0	84.0	423.0	37.0	25.0	3.0	51.0	0.0	0.0	8.0	3.0	1.0	6.0	344.0	80.0	3.0	0.0	0.0	12.0	1.0	27.0	189.0	46.0	121.0	3692.0	1466.0	28.0	10.0	1528.0	218.0	332.0	192.0	465.0	962.0	1.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Plesiomonas; s__uncultured bacterium
OTU23	928.0	278.0	1544.0	66.0	106.0	39.0	371.0	154.0	150.0	314.0	196.0	844.0	234.0	46.0	29.0	4.0	177.0	4.0	10.0	81.0	30.0	3.0	525.0	17.0	51.0	423.0	6.0	1095.0	928.0	18.0	50.0	15.0	55.0	27.0	143.0	109.0	31.0	84.0	3.0	58.0	7.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
OTU24	0.0	0.0	114.0	588.0	34.0	20.0	1.0	3.0	0.0	0.0	3.0	0.0	0.0	23.0	2.0	9.0	0.0	3.0	140.0	11.0	6.0	5.0	75.0	984.0	26.0	2.0	138.0	0.0	0.0	59.0	1145.0	192.0	313.0	407.0	220.0	21.0	1457.0	385.0	647.0	712.0	860.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Cellvibrionaceae; g__Cellvibrio; s__uncultured bacterium
OTU25	142.0	249.0	196.0	235.0	671.0	14.0	948.0	428.0	364.0	411.0	60.0	197.0	24.0	12.0	24.0	0.0	42.0	8.0	0.0	5.0	42.0	5.0	73.0	14.0	203.0	132.0	8.0	571.0	1203.0	5.0	84.0	44.0	30.0	43.0	692.0	1497.0	5.0	277.0	8.0	7.0	37.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas sp.
OTU26	910.0	437.0	1719.0	255.0	279.0	40.0	793.0	197.0	231.0	381.0	166.0	191.0	265.0	67.0	41.0	7.0	141.0	10.0	9.0	35.0	87.0	4.0	515.0	10.0	291.0	343.0	10.0	172.0	375.0	17.0	18.0	31.0	33.0	11.0	61.0	70.0	15.0	80.0	7.0	49.0	6.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Phyllobacterium; s__uncultured bacterium
OTU27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	388.0	0.0	46.0	47.0	0.0	2.0	873.0	869.0	2736.0	1247.0	1113.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__uncultured bacterium
OTU28	7.0	0.0	24.0	152.0	1.0	17.0	0.0	242.0	9.0	4.0	25.0	4.0	24.0	5.0	235.0	208.0	20.0	0.0	5.0	7.0	0.0	4.0	28.0	64.0	42.0	0.0	435.0	0.0	0.0	370.0	1627.0	59.0	286.0	606.0	40.0	6.0	684.0	300.0	780.0	954.0	250.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Pelomonas; s__uncultured beta proteobacterium
OTU29	0.0	3.0	95.0	511.0	144.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	148.0	0.0	262.0	91.0	0.0	0.0	0.0	0.0	0.0	1.0	125.0	20.0	31.0	1390.0	101.0	37.0	67.0	90.0	409.0	20.0	134.0	242.0	2524.0	0.0	467.0	176.0	387.0	50.0	51.0	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Luteolibacter; s__uncultured bacterium
OTU30	0.0	5.0	181.0	349.0	38.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	348.0	8.0	0.0	0.0	0.0	1.0	1.0	2.0	2682.0	52.0	1.0	587.0	60.0	57.0	40.0	14.0	85.0	6.0	122.0	58.0	96.0	5.0	96.0	314.0	223.0	126.0	52.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__PeM15; f__norank; g__norank; s__uncultured bacterium
OTU31	11.0	8.0	8.0	1.0	0.0	1.0	0.0	7.0	0.0	0.0	3558.0	62.0	101.0	22.0	404.0	1132.0	9.0	0.0	5.0	100.0	0.0	114.0	52.0	11.0	2.0	0.0	24.0	1.0	0.0	19.0	1.0	0.0	4.0	1.0	0.0	0.0	43.0	6.0	184.0	41.0	19.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
OTU32	583.0	257.0	1128.0	177.0	181.0	34.0	553.0	130.0	150.0	308.0	123.0	134.0	200.0	39.0	30.0	8.0	81.0	9.0	10.0	19.0	65.0	2.0	426.0	14.0	169.0	342.0	5.0	136.0	441.0	11.0	18.0	28.0	37.0	23.0	55.0	57.0	15.0	87.0	4.0	42.0	13.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Phyllobacterium
OTU33	15.0	0.0	14.0	44.0	2.0	422.0	0.0	8.0	0.0	0.0	360.0	622.0	33.0	80.0	4.0	24.0	10.0	2.0	43.0	206.0	1.0	204.0	10.0	188.0	32.0	14.0	167.0	0.0	0.0	127.0	171.0	43.0	28.0	78.0	1.0	0.0	550.0	446.0	498.0	231.0	750.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__uncultured bacterium
OTU34	4.0	0.0	19.0	257.0	0.0	6.0	0.0	3.0	2.0	6.0	0.0	0.0	391.0	1.0	1171.0	1486.0	9.0	0.0	0.0	7.0	0.0	8.0	55.0	4.0	5.0	9.0	49.0	7.0	0.0	48.0	128.0	4.0	108.0	211.0	0.0	0.0	173.0	182.0	420.0	150.0	163.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Rhodocyclaceae; g__Dechloromonas; s__uncultured bacterium
OTU35	0.0	0.0	22.0	379.0	3.0	10.0	2.0	167.0	0.0	0.0	0.0	0.0	84.0	0.0	79.0	461.0	2.0	0.0	0.0	7.0	0.0	4.0	4.0	290.0	14.0	0.0	200.0	0.0	0.0	141.0	232.0	43.0	813.0	1341.0	27.0	4.0	205.0	104.0	164.0	314.0	115.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__uncultured bacterium
OTU36	34.0	40.0	75.0	274.0	45.0	156.0	0.0	7.0	0.0	0.0	0.0	0.0	188.0	50.0	452.0	65.0	8.0	1.0	0.0	202.0	1.0	116.0	260.0	86.0	17.0	86.0	94.0	14.0	1.0	71.0	174.0	140.0	194.0	473.0	415.0	0.0	456.0	246.0	493.0	28.0	24.0	d__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__uncultured bacterium
OTU37	0.0	0.0	180.0	1677.0	66.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	13.0	17.0	0.0	41.0	3.0	10.0	0.0	8.0	8.0	42.0	171.0	288.0	65.0	0.0	120.0	1278.0	35.0	50.0	642.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__uncultured; s__uncultured bacterium
OTU38	4.0	0.0	20.0	34.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	5.0	283.0	578.0	5.0	0.0	3.0	139.0	0.0	25.0	22.0	10.0	10.0	0.0	78.0	0.0	0.0	78.0	166.0	12.0	64.0	155.0	18.0	0.0	625.0	367.0	664.0	620.0	334.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Chitinibacteraceae; g__Chitinilyticum
OTU39	0.0	0.0	1.0	4.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	33.0	0.0	0.0	30.0	4.0	0.0	21.0	0.0	2.0	6.0	0.0	724.0	6.0	0.0	686.0	65.0	199.0	325.0	921.0	16.0	0.0	447.0	252.0	93.0	441.0	255.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Barnesiellaceae; g__uncultured; s__uncultured bacterium
OTU40	0.0	0.0	6.0	35.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1405.0	484.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	19.0	0.0	0.0	1.0	0.0	0.0	1.0	736.0	0.0	21.0	41.0	0.0	4.0	121.0	250.0	904.0	233.0	234.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured; s__uncultured Bacteroidetes bacterium
OTU41	0.0	0.0	0.0	4.0	0.0	2192.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	515.0	0.0	1.0	0.0	104.0	389.0	261.0	0.0	848.0	0.0	4.0	1.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__uncultured bacterium
OTU42	13.0	73.0	122.0	134.0	33.0	3.0	0.0	89.0	0.0	0.0	110.0	6.0	57.0	0.0	1462.0	22.0	3.0	0.0	0.0	9.0	0.0	8.0	1607.0	43.0	2.0	9.0	8.0	6.0	1.0	5.0	16.0	0.0	4.0	4.0	0.0	0.0	8.0	7.0	42.0	15.0	2.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter
OTU43	732.0	104.0	1034.0	28.0	57.0	9.0	108.0	38.0	33.0	232.0	109.0	151.0	133.0	37.0	19.0	4.0	109.0	3.0	13.0	31.0	23.0	0.0	294.0	5.0	15.0	230.0	4.0	230.0	359.0	3.0	6.0	4.0	11.0	7.0	49.0	73.0	12.0	43.0	0.0	41.0	1.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Labraceae; g__Labrys
OTU44	25.0	151.0	186.0	373.0	98.0	7.0	0.0	2.0	0.0	0.0	5.0	0.0	17.0	162.0	261.0	22.0	0.0	5.0	0.0	0.0	0.0	0.0	1608.0	87.0	4.0	415.0	11.0	14.0	14.0	8.0	13.0	0.0	9.0	28.0	113.0	0.0	20.0	10.0	3.0	8.0	11.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter
OTU45	0.0	1.0	4.0	32.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	56.0	5.0	1314.0	1.0	0.0	1374.0	53.0	20.0	272.0	315.0	9.0	0.0	182.0	91.0	149.0	197.0	122.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured
OTU46	0.0	6.0	86.0	354.0	60.0	10.0	0.0	0.0	0.0	3.0	1.0	3.0	34.0	1.0	177.0	15.0	1.0	0.0	0.0	11.0	0.0	12.0	715.0	58.0	22.0	932.0	62.0	15.0	50.0	71.0	200.0	10.0	53.0	72.0	79.0	5.0	87.0	230.0	136.0	125.0	142.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__uncultured bacterium
OTU47	1.0	0.0	10.0	28.0	0.0	23.0	0.0	44.0	0.0	0.0	17.0	0.0	38.0	1277.0	236.0	106.0	22.0	347.0	403.0	60.0	0.0	605.0	5.0	136.0	0.0	63.0	44.0	1.0	0.0	15.0	287.0	86.0	81.0	177.0	0.0	87.0	16.0	42.0	39.0	37.0	76.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__ZOR0006; s__uncultured bacterium
OTU48	1.0	0.0	4.0	32.0	0.0	14.0	0.0	49.0	0.0	0.0	0.0	0.0	372.0	0.0	288.0	1070.0	0.0	1.0	0.0	10.0	0.0	6.0	6.0	2.0	22.0	0.0	308.0	1.0	0.0	198.0	270.0	24.0	4.0	17.0	9.0	1.0	23.0	61.0	630.0	70.0	138.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__uncultured bacterium
OTU49	360.0	67.0	19.0	17.0	54.0	75.0	192.0	421.0	483.0	139.0	160.0	114.0	29.0	6.0	4.0	0.0	599.0	4.0	0.0	208.0	668.0	3.0	8.0	3.0	60.0	11.0	2.0	17.0	75.0	0.0	72.0	70.0	0.0	9.0	173.0	22.0	2.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__uncultured bacterium
OTU50	24.0	37.0	9.0	8.0	1.0	371.0	0.0	3.0	0.0	343.0	63.0	45.0	2.0	50.0	1.0	2.0	3.0	58.0	824.0	62.0	26.0	248.0	2.0	478.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1020.0	0.0	0.0	0.0	0.0	1.0	18.0	0.0	1.0	1.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae
OTU51	1.0	0.0	10.0	43.0	0.0	16.0	5.0	0.0	0.0	0.0	0.0	1.0	11.0	0.0	56.0	52.0	5.0	0.0	13.0	5.0	0.0	3.0	4.0	6.0	57.0	5.0	404.0	0.0	2.0	221.0	682.0	32.0	93.0	228.0	18.0	4.0	235.0	77.0	644.0	349.0	134.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__uncultured
OTU52	1.0	0.0	31.0	183.0	15.0	60.0	0.0	56.0	0.0	0.0	0.0	0.0	38.0	2.0	76.0	119.0	4.0	0.0	0.0	12.0	1.0	8.0	2.0	7.0	18.0	5.0	74.0	2.0	0.0	38.0	2859.0	59.0	114.0	217.0	33.0	14.0	62.0	30.0	4.0	45.0	16.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__uncultured; s__uncultured beta proteobacterium
OTU53	12.0	31.0	22.0	46.0	1.0	94.0	0.0	11.0	0.0	0.0	37.0	2.0	24.0	7.0	1001.0	10.0	10.0	0.0	2.0	22.0	0.0	19.0	693.0	41.0	3.0	190.0	71.0	12.0	4.0	12.0	28.0	11.0	31.0	14.0	14.0	3.0	158.0	122.0	161.0	135.0	88.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Demequinaceae; g__Lysinimicrobium; s__Lysinimicrobium luteum
OTU54	158.0	37.0	390.0	16.0	41.0	49.0	216.0	394.0	766.0	260.0	95.0	96.0	22.0	2.0	2.0	0.0	222.0	5.0	0.0	53.0	64.0	0.0	2.0	2.0	11.0	7.0	1.0	33.0	86.0	0.0	210.0	270.0	5.0	10.0	253.0	11.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella 7; s__uncultured bacterium
OTU55	4.0	59.0	41.0	65.0	5.0	9.0	0.0	53.0	0.0	0.0	46.0	4.0	8.0	7.0	1461.0	59.0	4.0	0.0	0.0	7.0	0.0	10.0	621.0	18.0	4.0	159.0	46.0	1.0	4.0	11.0	7.0	9.0	10.0	12.0	16.0	0.0	74.0	64.0	38.0	154.0	23.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__uncultured; s__uncultured bacterium
