Chr	start	end	number	type	color
chr1	10400000	10499999	1	rect	blue-red
chr1	10500000	10599999	1	rect	blue-red
chr1	10700000	10799999	1	rect	blue-red
chr1	10800000	10899999	1	rect	blue-red
chr1	10900000	10999999	2	rect	blue-red
chr1	11000000	11099999	2	rect	blue-red
chr1	11300000	11399999	4	rect	blue-red
chr1	11400000	11499999	1	rect	blue-red
chr1	11500000	11599999	2	rect	blue-red
chr1	11700000	11799999	1	rect	blue-red
chr1	11900000	11999999	4	rect	blue-red
chr1	12100000	12199999	2	rect	blue-red
chr1	12400000	12499999	2	rect	blue-red
chr1	12500000	12599999	1	rect	blue-red
chr1	12600000	12699999	2	rect	blue-red
chr1	12700000	12799999	4	rect	blue-red
chr1	13000000	13099999	1	rect	blue-red
chr1	13200000	13299999	1	rect	blue-red
chr1	13300000	13399999	2	rect	blue-red
chr1	13400000	13499999	2	rect	blue-red
chr1	14100000	14199999	1	rect	blue-red
chr1	14200000	14299999	2	rect	blue-red
chr1	14300000	14399999	1	rect	blue-red
chr1	14400000	14499999	1	rect	blue-red
chr1	15000000	15099999	1	rect	blue-red
chr1	15100000	15199999	1	rect	blue-red
chr1	15400000	15499999	1	rect	blue-red
chr1	15500000	15599999	2	rect	blue-red
chr1	15700000	15799999	1	rect	blue-red
chr1	15900000	15999999	1	rect	blue-red
chr1	16200000	16299999	1	rect	blue-red
chr1	16300000	16399999	2	rect	blue-red
chr1	16400000	16499999	2	rect	blue-red
chr1	17000000	17099999	1	rect	blue-red
chr1	17500000	17599999	1	rect	blue-red
chr1	17600000	17699999	1	rect	blue-red
chr1	17700000	17799999	1	rect	blue-red
chr1	17800000	17899999	1	rect	blue-red
chr1	18000000	18099999	2	rect	blue-red
chr1	18200000	18299999	2	rect	blue-red
chr1	18300000	18399999	2	rect	blue-red
chr1	18400000	18499999	1	rect	blue-red
chr1	18600000	18699999	2	rect	blue-red
chr1	18900000	18999999	1	rect	blue-red
chr1	19000000	19099999	1	rect	blue-red
chr1	19100000	19199999	1	rect	blue-red
chr1	19400000	19499999	1	rect	blue-red
chr1	19500000	19599999	3	rect	blue-red
chr1	19600000	19699999	1	rect	blue-red
chr1	19700000	19799999	1	rect	blue-red
chr1	19800000	19899999	1	rect	blue-red
chr1	20000000	20099999	3	rect	blue-red
chr1	20300000	20399999	1	rect	blue-red
chr1	20400000	20499999	3	rect	blue-red
chr1	20600000	20699999	1	rect	blue-red
chr1	20900000	20999999	3	rect	blue-red
chr1	21300000	21399999	1	rect	blue-red
chr1	21400000	21499999	3	rect	blue-red
chr1	21500000	21599999	3	rect	blue-red
chr1	21600000	21699999	3	rect	blue-red
chr1	21700000	21799999	1	rect	blue-red
chr1	22200000	22299999	1	rect	blue-red
chr1	22300000	22399999	1	rect	blue-red
chr1	22400000	22499999	1	rect	blue-red
chr1	22500000	22599999	1	rect	blue-red
chr1	22600000	22699999	1	rect	blue-red
chr1	22800000	22899999	1	rect	blue-red
chr1	23600000	23699999	1	rect	blue-red
chr1	24100000	24199999	1	rect	blue-red
chr1	24800000	24899999	1	rect	blue-red
chr1	25000000	25099999	1	rect	blue-red
chr1	25300000	25399999	2	rect	blue-red
chr1	25500000	25599999	1	rect	blue-red
chr1	25700000	25799999	1	rect	blue-red
chr1	26100000	26199999	1	rect	blue-red
chr1	26200000	26299999	2	rect	blue-red
chr1	26500000	26599999	2	rect	blue-red
chr1	26800000	26899999	2	rect	blue-red
chr1	26900000	26999999	1	rect	blue-red
chr1	27300000	27399999	1	rect	blue-red
chr1	27400000	27499999	1	rect	blue-red
chr1	27500000	27599999	1	rect	blue-red
chr1	27600000	27699999	1	rect	blue-red
chr1	27800000	27899999	1	rect	blue-red
chr1	27900000	27999999	2	rect	blue-red
chr1	28100000	28199999	2	rect	blue-red
chr1	28200000	28299999	2	rect	blue-red
chr1	28300000	28399999	1	rect	blue-red
chr1	28400000	28499999	1	rect	blue-red
chr1	28500000	28599999	2	rect	blue-red
chr1	28700000	28799999	1	rect	blue-red
chr1	29000000	29099999	3	rect	blue-red
chr1	29100000	29199999	1	rect	blue-red
chr1	29200000	29299999	2	rect	blue-red
chr1	29300000	29399999	1	rect	blue-red
chr1	29400000	29499999	1	rect	blue-red
chr1	29500000	29599999	2	rect	blue-red
chr1	29600000	29699999	1	rect	blue-red
chr1	30000000	30099999	1	rect	blue-red
chr1	30400000	30499999	2	rect	blue-red
chr1	30700000	30799999	1	rect	blue-red
chr1	30800000	30899999	2	rect	blue-red
chr1	30900000	30999999	1	rect	blue-red
chr1	31000000	31099999	1	rect	blue-red
chr1	31200000	31299999	2	rect	blue-red
chr1	31300000	31399999	1	rect	blue-red
chr1	31400000	31499999	1	rect	blue-red
chr1	31600000	31699999	3	rect	blue-red
chr1	31700000	31799999	1	rect	blue-red
chr1	31800000	31899999	1	rect	blue-red
chr1	31900000	31999999	2	rect	blue-red
chr1	32000000	32099999	1	rect	blue-red
chr2	600000	699999	3	rect	blue-red
chr2	900000	999999	3	rect	blue-red
chr2	1000000	1099999	3	rect	blue-red
chr2	1100000	1199999	1	rect	blue-red
chr2	1500000	1599999	1	rect	blue-red
chr2	1700000	1799999	1	rect	blue-red
chr2	1800000	1899999	2	rect	blue-red
chr2	1900000	1999999	2	rect	blue-red
chr2	2100000	2199999	1	rect	blue-red
chr2	2200000	2299999	1	rect	blue-red
chr2	2300000	2399999	5	rect	blue-red
chr2	2700000	2799999	1	rect	blue-red
chr2	2800000	2899999	1	rect	blue-red
chr2	3000000	3099999	2	rect	blue-red
chr2	3100000	3199999	1	rect	blue-red
chr2	3200000	3299999	3	rect	blue-red
chr2	3300000	3399999	2	rect	blue-red
chr2	3400000	3499999	1	rect	blue-red
chr2	3600000	3699999	3	rect	blue-red
chr2	4300000	4399999	1	rect	blue-red
chr2	4400000	4499999	2	rect	blue-red
chr2	4500000	4599999	1	rect	blue-red
chr2	4600000	4699999	1	rect	blue-red
chr2	4700000	4799999	1	rect	blue-red
chr2	4800000	4899999	2	rect	blue-red
chr2	4900000	4999999	1	rect	blue-red
chr2	5000000	5099999	1	rect	blue-red
chr2	5100000	5199999	1	rect	blue-red
chr2	5200000	5299999	1	rect	blue-red
chr2	5400000	5499999	2	rect	blue-red
chr2	6000000	6099999	1	rect	blue-red
chr2	6100000	6199999	2	rect	blue-red
chr2	6400000	6499999	1	rect	blue-red
chr2	6500000	6599999	1	rect	blue-red
chr2	6600000	6699999	1	rect	blue-red
chr2	6700000	6799999	2	rect	blue-red
chr2	6800000	6899999	1	rect	blue-red
chr2	7300000	7399999	2	rect	blue-red
chr2	7400000	7499999	2	rect	blue-red
chr2	7600000	7699999	2	rect	blue-red
chr2	8000000	8099999	1	rect	blue-red
chr2	8200000	8299999	2	rect	blue-red
chr2	8400000	8499999	2	rect	blue-red
chr2	8800000	8899999	1	rect	blue-red
chr2	8900000	8999999	5	rect	blue-red
chr2	9000000	9099999	1	rect	blue-red
chr2	9100000	9199999	2	rect	blue-red
chr2	9300000	9399999	3	rect	blue-red
chr2	9400000	9499999	3	rect	blue-red
chr2	9500000	9599999	1	rect	blue-red
chr2	9800000	9899999	2	rect	blue-red
chr2	9900000	9999999	1	rect	blue-red
chr2	10000000	10099999	1	rect	blue-red
chr2	10200000	10299999	1	rect	blue-red
chr2	10300000	10399999	1	rect	blue-red
chr2	10400000	10499999	2	rect	blue-red
chr2	10500000	10599999	2	rect	blue-red
chr2	10600000	10699999	1	rect	blue-red
chr2	10900000	10999999	1	rect	blue-red
chr2	11500000	11599999	1	rect	blue-red
chr2	11700000	11799999	3	rect	blue-red
chr2	11800000	11899999	1	rect	blue-red
chr2	12100000	12199999	1	rect	blue-red
chr2	12200000	12299999	1	rect	blue-red
chr2	12400000	12499999	1	rect	blue-red
chr2	12500000	12599999	1	rect	blue-red
chr2	12700000	12799999	1	rect	blue-red
chr2	12800000	12899999	2	rect	blue-red
chr2	12900000	12999999	2	rect	blue-red
chr2	13100000	13199999	1	rect	blue-red
chr2	14200000	14299999	1	rect	blue-red
chr2	14700000	14799999	1	rect	blue-red
chr2	14900000	14999999	2	rect	blue-red
chr2	15300000	15399999	2	rect	blue-red
chr2	15600000	15699999	1	rect	blue-red
chr2	15700000	15799999	1	rect	blue-red
chr2	15800000	15899999	1	rect	blue-red
chr2	15900000	15999999	2	rect	blue-red
chr2	17000000	17099999	1	rect	blue-red
chr2	17200000	17299999	1	rect	blue-red
chr2	17500000	17599999	1	rect	blue-red
chr2	18200000	18299999	1	rect	blue-red
chr2	18300000	18399999	2	rect	blue-red
chr2	19600000	19699999	2	rect	blue-red
chr2	19700000	19799999	1	rect	blue-red
chr2	19800000	19899999	1	rect	blue-red
chr2	20400000	20499999	1	rect	blue-red
chr2	20500000	20599999	1	rect	blue-red
chr2	20600000	20699999	2	rect	blue-red
chr2	20700000	20799999	1	rect	blue-red
chr2	20900000	20999999	1	rect	blue-red
chr2	21000000	21099999	1	rect	blue-red
chr2	21100000	21199999	1	rect	blue-red
chr2	21200000	21299999	1	rect	blue-red
chr2	21300000	21399999	2	rect	blue-red
chr2	21400000	21499999	1	rect	blue-red
chr2	21800000	21899999	1	rect	blue-red
chr2	21900000	21999999	1	rect	blue-red
chr2	22000000	22099999	1	rect	blue-red
chr2	22100000	22199999	1	rect	blue-red
chr2	22900000	22999999	1	rect	blue-red
chr2	23000000	23099999	3	rect	blue-red
chr2	23400000	23499999	1	rect	blue-red
chr2	23500000	23599999	1	rect	blue-red
chr2	24500000	24599999	1	rect	blue-red
chr2	24700000	24799999	2	rect	blue-red
chr2	24800000	24899999	2	rect	blue-red
chr2	24900000	24999999	1	rect	blue-red
chr2	25000000	25099999	1	rect	blue-red
chr2	25100000	25199999	1	rect	blue-red
chr2	25200000	25299999	1	rect	blue-red
chr2	25300000	25399999	1	rect	blue-red
chr2	25500000	25599999	1	rect	blue-red
chr2	25600000	25699999	1	rect	blue-red
chr2	25700000	25799999	1	rect	blue-red
chr2	25900000	25999999	1	rect	blue-red
chr2	26000000	26099999	1	rect	blue-red
chr2	26100000	26199999	2	rect	blue-red
chr2	26200000	26299999	2	rect	blue-red
chr2	26300000	26399999	1	rect	blue-red
chr2	26500000	26599999	1	rect	blue-red
chr2	26800000	26899999	3	rect	blue-red
chr2	27100000	27199999	1	rect	blue-red
chr2	27200000	27299999	1	rect	blue-red
chr2	27300000	27399999	1	rect	blue-red
chr2	27400000	27499999	2	rect	blue-red
chr2	27500000	27599999	2	rect	blue-red
chr2	27600000	27699999	1	rect	blue-red
chr2	27900000	27999999	1	rect	blue-red
chr2	28000000	28099999	4	rect	blue-red
chr2	28100000	28199999	1	rect	blue-red
chr2	28200000	28299999	1	rect	blue-red
chr2	28500000	28599999	1	rect	blue-red
chr2	28600000	28699999	1	rect	blue-red
chr2	28700000	28799999	1	rect	blue-red
chr2	28800000	28899999	1	rect	blue-red
chr2	28900000	28999999	1	rect	blue-red
chr2	29000000	29099999	2	rect	blue-red
chr2	29100000	29199999	3	rect	blue-red
chr2	29200000	29299999	1	rect	blue-red
chr2	29300000	29399999	1	rect	blue-red
chr2	29500000	29599999	2	rect	blue-red
chr2	29600000	29699999	2	rect	blue-red
chr2	29900000	29999999	1	rect	blue-red
chr2	30000000	30099999	1	rect	blue-red
chr2	30100000	30199999	1	rect	blue-red
chr2	30400000	30499999	2	rect	blue-red
chr2	30500000	30599999	1	rect	blue-red
chr2	30600000	30699999	3	rect	blue-red
chr2	30700000	30799999	1	rect	blue-red
chr2	30800000	30899999	2	rect	blue-red
chr2	31200000	31299999	1	rect	blue-red
chr2	31300000	31399999	2	rect	blue-red
chr2	31400000	31499999	1	rect	blue-red
chr2	31500000	31599999	1	rect	blue-red
chr2	31700000	31799999	3	rect	blue-red
chr2	31800000	31899999	3	rect	blue-red
chr2	31900000	31999999	2	rect	blue-red
chr2	32000000	32099999	2	rect	blue-red
chr2	32100000	32199999	1	rect	blue-red
chr2	32300000	32399999	2	rect	blue-red
chr2	33100000	33199999	1	rect	blue-red
chr2	33200000	33299999	1	rect	blue-red
chr2	33300000	33399999	1	rect	blue-red
chr2	34000000	34099999	1	rect	blue-red
chr2	34700000	34799999	2	rect	blue-red
chr2	35200000	35299999	1	rect	blue-red
chr2	35400000	35499999	1	rect	blue-red
chr2	35600000	35699999	3	rect	blue-red
chr2	35700000	35799999	2	rect	blue-red
chr2	36000000	36099999	2	rect	blue-red
chr2	36300000	36399999	3	rect	blue-red
chr2	36400000	36499999	1	rect	blue-red
chr2	36500000	36599999	1	rect	blue-red
chr2	36700000	36799999	1	rect	blue-red
chr2	37000000	37099999	1	rect	blue-red
chr2	37100000	37199999	1	rect	blue-red
chr2	37300000	37399999	1	rect	blue-red
chr2	37700000	37799999	2	rect	blue-red
chr2	37800000	37899999	2	rect	blue-red
chr2	37900000	37999999	1	rect	blue-red
chr2	38000000	38099999	1	rect	blue-red
chr2	38100000	38199999	1	rect	blue-red
chr2	38300000	38399999	1	rect	blue-red
chr2	38400000	38499999	2	rect	blue-red
chr2	38500000	38599999	1	rect	blue-red
chr2	39000000	39099999	1	rect	blue-red
chr2	39400000	39499999	1	rect	blue-red
chr2	39500000	39599999	1	rect	blue-red
chr2	39600000	39699999	1	rect	blue-red
chr2	40000000	40099999	1	rect	blue-red
chr2	40100000	40199999	5	rect	blue-red
chr2	40200000	40299999	1	rect	blue-red
chr2	40300000	40399999	1	rect	blue-red
chr2	40400000	40499999	3	rect	blue-red
chr2	40500000	40599999	2	rect	blue-red
chr2	40600000	40699999	3	rect	blue-red
chr2	40700000	40799999	2	rect	blue-red
chr2	40800000	40899999	2	rect	blue-red
chr2	40900000	40999999	2	rect	blue-red
chr2	41000000	41099999	1	rect	blue-red
chr2	41200000	41299999	1	rect	blue-red
chr2	41400000	41499999	1	rect	blue-red
chr2	41600000	41699999	1	rect	blue-red
chr2	41800000	41899999	2	rect	blue-red
chr2	42000000	42099999	1	rect	blue-red
chr2	42100000	42199999	2	rect	blue-red
chr2	42200000	42299999	2	rect	blue-red
chr2	42500000	42599999	2	rect	blue-red
chr2	42900000	42999999	1	rect	blue-red
chr2	43000000	43099999	2	rect	blue-red
chr2	43400000	43499999	2	rect	blue-red
chr2	43700000	43799999	2	rect	blue-red
chr2	44200000	44299999	1	rect	blue-red
chr2	44400000	44499999	3	rect	blue-red
chr2	44500000	44599999	1	rect	blue-red
chr2	44900000	44999999	2	rect	blue-red
chr2	45100000	45199999	1	rect	blue-red
chr2	45300000	45399999	1	rect	blue-red
chr2	45400000	45499999	1	rect	blue-red
chr2	45500000	45599999	1	rect	blue-red
chr2	45700000	45799999	1	rect	blue-red
chr2	46100000	46199999	1	rect	blue-red
chr2	46300000	46399999	1	rect	blue-red
chr2	46600000	46699999	3	rect	blue-red
chr2	46700000	46799999	2	rect	blue-red
chr2	46800000	46899999	1	rect	blue-red
chr2	47100000	47199999	4	rect	blue-red
chr2	47200000	47299999	1	rect	blue-red
chr2	47500000	47599999	1	rect	blue-red
chr2	47600000	47699999	2	rect	blue-red
chr2	47800000	47899999	2	rect	blue-red
chr2	48200000	48299999	1	rect	blue-red
chr2	48600000	48699999	1	rect	blue-red
chr2	48700000	48799999	1	rect	blue-red
chr2	49400000	49499999	1	rect	blue-red
chr2	49700000	49799999	1	rect	blue-red
chr2	50200000	50299999	1	rect	blue-red
chr2	50300000	50399999	1	rect	blue-red
chr2	50400000	50499999	1	rect	blue-red
chr2	50500000	50599999	1	rect	blue-red
chr2	50600000	50699999	1	rect	blue-red
chr2	50700000	50799999	3	rect	blue-red
chr2	50800000	50899999	1	rect	blue-red
chr2	50900000	50999999	2	rect	blue-red
chr2	51100000	51199999	1	rect	blue-red
chr2	51300000	51399999	1	rect	blue-red
chr2	51400000	51499999	2	rect	blue-red
chr2	51500000	51599999	3	rect	blue-red
chr2	51600000	51699999	2	rect	blue-red
chr2	51700000	51799999	1	rect	blue-red
chr2	51800000	51899999	1	rect	blue-red
chr2	51900000	51999999	1	rect	blue-red
chr2	52000000	52099999	3	rect	blue-red
chr2	52100000	52199999	1	rect	blue-red
chr2	52200000	52299999	2	rect	blue-red
chr2	52600000	52699999	1	rect	blue-red
chr2	52700000	52799999	1	rect	blue-red
chr2	52900000	52999999	3	rect	blue-red
chr3	200000	299999	1	rect	blue-red
chr3	900000	999999	1	rect	blue-red
chr3	1200000	1299999	1	rect	blue-red
chr3	1300000	1399999	2	rect	blue-red
chr3	1600000	1699999	1	rect	blue-red
chr3	1800000	1899999	3	rect	blue-red
chr3	2000000	2099999	2	rect	blue-red
chr3	2100000	2199999	1	rect	blue-red
chr3	2500000	2599999	1	rect	blue-red
chr3	2800000	2899999	1	rect	blue-red
chr3	2900000	2999999	1	rect	blue-red
chr3	3100000	3199999	2	rect	blue-red
chr3	3200000	3299999	3	rect	blue-red
chr3	3300000	3399999	2	rect	blue-red
chr3	3400000	3499999	1	rect	blue-red
chr3	3500000	3599999	1	rect	blue-red
chr3	3700000	3799999	2	rect	blue-red
chr3	3800000	3899999	1	rect	blue-red
chr3	4000000	4099999	1	rect	blue-red
chr3	4100000	4199999	1	rect	blue-red
chr3	4400000	4499999	1	rect	blue-red
chr3	4700000	4799999	1	rect	blue-red
chr3	4800000	4899999	3	rect	blue-red
chr3	4900000	4999999	1	rect	blue-red
chr3	5100000	5199999	2	rect	blue-red
chr3	5300000	5399999	1	rect	blue-red
chr3	5500000	5599999	2	rect	blue-red
chr3	5600000	5699999	2	rect	blue-red
chr3	5800000	5899999	1	rect	blue-red
chr3	5900000	5999999	1	rect	blue-red
chr3	6300000	6399999	1	rect	blue-red
chr3	6500000	6599999	1	rect	blue-red
chr3	6600000	6699999	2	rect	blue-red
chr3	7000000	7099999	2	rect	blue-red
chr3	7600000	7699999	1	rect	blue-red
chr3	8000000	8099999	1	rect	blue-red
chr3	8100000	8199999	2	rect	blue-red
chr3	8200000	8299999	2	rect	blue-red
chr3	8400000	8499999	1	rect	blue-red
chr3	9000000	9099999	1	rect	blue-red
chr3	9200000	9299999	1	rect	blue-red
chr3	9300000	9399999	2	rect	blue-red
chr3	9500000	9599999	1	rect	blue-red
chr3	9700000	9799999	1	rect	blue-red
chr3	10100000	10199999	1	rect	blue-red
chr3	10400000	10499999	1	rect	blue-red
chr3	10500000	10599999	4	rect	blue-red
chr3	10600000	10699999	2	rect	blue-red
chr3	10800000	10899999	1	rect	blue-red
chr3	11100000	11199999	2	rect	blue-red
chr3	11400000	11499999	1	rect	blue-red
chr3	11700000	11799999	1	rect	blue-red
chr3	11900000	11999999	1	rect	blue-red
chr3	12200000	12299999	1	rect	blue-red
chr3	12300000	12399999	2	rect	blue-red
chr3	12500000	12599999	2	rect	blue-red
chr3	12600000	12699999	1	rect	blue-red
chr3	12700000	12799999	2	rect	blue-red
chr3	13000000	13099999	1	rect	blue-red
chr3	13100000	13199999	1	rect	blue-red
chr3	13400000	13499999	4	rect	blue-red
chr3	13500000	13599999	1	rect	blue-red
chr3	13800000	13899999	3	rect	blue-red
chr3	14000000	14099999	1	rect	blue-red
chr3	14200000	14299999	1	rect	blue-red
chr3	14300000	14399999	2	rect	blue-red
chr3	14400000	14499999	1	rect	blue-red
chr3	14500000	14599999	1	rect	blue-red
chr3	15200000	15299999	2	rect	blue-red
chr3	15400000	15499999	1	rect	blue-red
chr3	15500000	15599999	1	rect	blue-red
chr3	15600000	15699999	2	rect	blue-red
chr3	15700000	15799999	2	rect	blue-red
chr3	16100000	16199999	1	rect	blue-red
chr3	16200000	16299999	1	rect	blue-red
chr3	16400000	16499999	1	rect	blue-red
chr3	16700000	16799999	1	rect	blue-red
chr3	17300000	17399999	1	rect	blue-red
chr3	17400000	17499999	1	rect	blue-red
chr3	17500000	17599999	1	rect	blue-red
chr3	17600000	17699999	1	rect	blue-red
chr3	18200000	18299999	3	rect	blue-red
chr3	18600000	18699999	1	rect	blue-red
chr3	18700000	18799999	1	rect	blue-red
chr3	18800000	18899999	2	rect	blue-red
chr3	18900000	18999999	1	rect	blue-red
chr3	19000000	19099999	2	rect	blue-red
chr3	19100000	19199999	1	rect	blue-red
chr3	19200000	19299999	1	rect	blue-red
chr3	19400000	19499999	1	rect	blue-red
chr3	19500000	19599999	1	rect	blue-red
chr3	19800000	19899999	3	rect	blue-red
chr3	20400000	20499999	1	rect	blue-red
chr3	20700000	20799999	1	rect	blue-red
chr3	21100000	21199999	1	rect	blue-red
chr3	21300000	21399999	3	rect	blue-red
chr3	21400000	21499999	1	rect	blue-red
chr3	21600000	21699999	2	rect	blue-red
chr3	21800000	21899999	1	rect	blue-red
chr3	21900000	21999999	1	rect	blue-red
chr3	22000000	22099999	1	rect	blue-red
chr3	22100000	22199999	3	rect	blue-red
chr3	22300000	22399999	2	rect	blue-red
chr3	22400000	22499999	1	rect	blue-red
chr3	22500000	22599999	1	rect	blue-red
chr3	23100000	23199999	1	rect	blue-red
chr3	23400000	23499999	3	rect	blue-red
chr3	23700000	23799999	1	rect	blue-red
chr3	23800000	23899999	1	rect	blue-red
chr3	23900000	23999999	1	rect	blue-red
chr3	24200000	24299999	2	rect	blue-red
chr3	24300000	24399999	1	rect	blue-red
chr3	24500000	24599999	2	rect	blue-red
chr3	24600000	24699999	2	rect	blue-red
chr3	24700000	24799999	1	rect	blue-red
chr3	24800000	24899999	1	rect	blue-red
chr3	24900000	24999999	1	rect	blue-red
chr3	25000000	25099999	3	rect	blue-red
chr3	25100000	25199999	1	rect	blue-red
chr3	25200000	25299999	1	rect	blue-red
chr3	25300000	25399999	3	rect	blue-red
chr3	25400000	25499999	1	rect	blue-red
chr3	25500000	25599999	3	rect	blue-red
chr3	25700000	25799999	1	rect	blue-red
chr3	25800000	25899999	2	rect	blue-red
chr3	25900000	25999999	4	rect	blue-red
chr3	26000000	26099999	4	rect	blue-red
chr3	26100000	26199999	1	rect	blue-red
chr3	26200000	26299999	2	rect	blue-red
chr3	26300000	26399999	2	rect	blue-red
chr3	26400000	26499999	1	rect	blue-red
chr3	26500000	26599999	1	rect	blue-red
chr3	26700000	26799999	1	rect	blue-red
chr3	26800000	26899999	1	rect	blue-red
chr3	26900000	26999999	1	rect	blue-red
chr3	27000000	27099999	1	rect	blue-red
chr3	27100000	27199999	2	rect	blue-red
chr3	27300000	27399999	3	rect	blue-red
chr3	27400000	27499999	1	rect	blue-red
chr3	27500000	27599999	2	rect	blue-red
chr3	27900000	27999999	1	rect	blue-red
chr3	28000000	28099999	3	rect	blue-red
chr3	28700000	28799999	2	rect	blue-red
chr3	28800000	28899999	1	rect	blue-red
chr3	29400000	29499999	2	rect	blue-red
chr3	29500000	29599999	2	rect	blue-red
chr3	30000000	30099999	1	rect	blue-red
chr3	30100000	30199999	1	rect	blue-red
chr3	30400000	30499999	1	rect	blue-red
chr4	500000	599999	1	rect	blue-red
chr4	600000	699999	1	rect	blue-red
chr4	800000	899999	2	rect	blue-red
chr4	1000000	1099999	1	rect	blue-red
chr4	1400000	1499999	1	rect	blue-red
chr4	1700000	1799999	1	rect	blue-red
chr4	1800000	1899999	1	rect	blue-red
chr4	1900000	1999999	1	rect	blue-red
chr4	2100000	2199999	3	rect	blue-red
chr4	2400000	2499999	1	rect	blue-red
chr4	2800000	2899999	2	rect	blue-red
chr4	3000000	3099999	1	rect	blue-red
chr4	3100000	3199999	1	rect	blue-red
chr4	3200000	3299999	1	rect	blue-red
chr4	3300000	3399999	1	rect	blue-red
chr4	3500000	3599999	1	rect	blue-red
chr4	3800000	3899999	1	rect	blue-red
chr4	4100000	4199999	2	rect	blue-red
chr4	4400000	4499999	1	rect	blue-red
chr4	4900000	4999999	1	rect	blue-red
chr4	5000000	5099999	1	rect	blue-red
chr4	5200000	5299999	2	rect	blue-red
chr4	5300000	5399999	1	rect	blue-red
chr4	5400000	5499999	5	rect	blue-red
chr4	5500000	5599999	1	rect	blue-red
chr4	5800000	5899999	3	rect	blue-red
chr4	6100000	6199999	1	rect	blue-red
chr4	6300000	6399999	3	rect	blue-red
chr4	6400000	6499999	2	rect	blue-red
chr4	6500000	6599999	1	rect	blue-red
chr4	6900000	6999999	1	rect	blue-red
chr4	7000000	7099999	1	rect	blue-red
chr4	7100000	7199999	1	rect	blue-red
chr4	7200000	7299999	4	rect	blue-red
chr4	7500000	7599999	1	rect	blue-red
chr4	8100000	8199999	4	rect	blue-red
chr4	8200000	8299999	1	rect	blue-red
chr4	8300000	8399999	2	rect	blue-red
chr4	8400000	8499999	3	rect	blue-red
chr4	8500000	8599999	2	rect	blue-red
chr4	8700000	8799999	1	rect	blue-red
chr4	8800000	8899999	2	rect	blue-red
chr4	9300000	9399999	1	rect	blue-red
chr4	9400000	9499999	1	rect	blue-red
chr4	9500000	9599999	1	rect	blue-red
chr4	9600000	9699999	1	rect	blue-red
chr4	9800000	9899999	2	rect	blue-red
chr4	10400000	10499999	2	rect	blue-red
chr4	10600000	10699999	1	rect	blue-red
chr4	10700000	10799999	2	rect	blue-red
chr4	10900000	10999999	1	rect	blue-red
chr4	11300000	11399999	2	rect	blue-red
chr4	11400000	11499999	1	rect	blue-red
chr4	11600000	11699999	1	rect	blue-red
chr4	11800000	11899999	2	rect	blue-red
chr4	12000000	12099999	2	rect	blue-red
chr4	12200000	12299999	1	rect	blue-red
chr4	12300000	12399999	2	rect	blue-red
chr4	12400000	12499999	1	rect	blue-red
chr4	12500000	12599999	1	rect	blue-red
chr4	12600000	12699999	1	rect	blue-red
chr4	12700000	12799999	2	rect	blue-red
chr4	13000000	13099999	3	rect	blue-red
