Chr	site	LOD	name
virtual	99	NA	EcoRI_147314_1
virtual	100	NA	EcoRI_147314_2
virtual	101	0.0609352	EcoRI_152886_1
virtual	102	NA	EcoRI_154896_1
virtual	103	NA	EcoRI_154896_2
virtual	104	1.32763	EcoRI_157171_1
virtual	105	1.32763	EcoRI_157171_2
virtual	106	0.0325035	EcoRI_161122_1
virtual	107	0.231665	EcoRI_165490_1
virtual	108	0.523835	EcoRI_167787_1
virtual	109	0.099267	EcoRI_170574_1
virtual	110	0.109585	EcoRI_180255_1
virtual	111	NA	EcoRI_185256_1
virtual	112	NA	EcoRI_186017_1
virtual	113	NA	EcoRI_186017_2
virtual	114	0.216661	EcoRI_186734_1
virtual	115	NA	EcoRI_191244_1
virtual	116	NA	EcoRI_194846_1
virtual	117	0.0348689	EcoRI_204754_1
virtual	118	0.0911666	EcoRI_204978_1
virtual	119	0.121099	EcoRI_205586_1
virtual	120	0.121099	EcoRI_205586_2
virtual	121	1.3304	EcoRI_206126_1
virtual	122	0.240294	EcoRI_207663_1
virtual	123	0.00749066	EcoRI_209618_1
virtual	124	0.00749066	EcoRI_209618_2
virtual	125	0.241967	EcoRI_217455_1
virtual	126	NA	EcoRI_219572_1
virtual	127	NA	EcoRI_220569_1
virtual	128	0.184057	EcoRI_224237_1
virtual	129	0.688925	EcoRI_225222_1
virtual	130	0.545003	EcoRI_231146_1
virtual	131	NA	EcoRI_233621_1
virtual	132	NA	EcoRI_234885_1
virtual	133	NA	EcoRI_234885_2
virtual	134	0.728205	EcoRI_238321_1
virtual	135	0.00795928	EcoRI_241644_1
virtual	136	0.0873423	EcoRI_242176_1
virtual	137	0.0493383	EcoRI_243788_1
virtual	138	NA	EcoRI_245606_1
virtual	139	NA	EcoRI_249828_1
virtual	140	NA	EcoRI_249828_2
virtual	141	0.341464	EcoRI_251841_1
virtual	142	0.341464	EcoRI_251841_2
virtual	143	0.014942	EcoRI_254978_1
virtual	144	NA	EcoRI_255560_1
virtual	145	NA	EcoRI_259272_1
virtual	146	0.951092	EcoRI_261683_1
virtual	147	1.12616	EcoRI_268321_1
virtual	148	NA	EcoRI_270389_1
virtual	149	NA	EcoRI_272040_1
virtual	150	0.259314	EcoRI_275333_1
virtual	151	0.259314	EcoRI_275333_2
virtual	152	0.17172	EcoRI_278276_1
virtual	153	NA	EcoRI_278334_1
virtual	154	0.197835	EcoRI_281124_1
virtual	155	0.197835	EcoRI_281124_2
virtual	156	0.0507125	EcoRI_281540_1
virtual	157	0.0251937	EcoRI_281650_1
virtual	158	1.01601	EcoRI_281659_1
virtual	159	NA	EcoRI_281672_1
virtual	160	NA	EcoRI_281706_1
virtual	161	0.532066	EcoRI_281718_1
virtual	162	NA	EcoRI_281723_1
virtual	163	0.0773524	EcoRI_281770_1
virtual	164	0.649713	EcoRI_281864_1
virtual	165	1.81759	EcoRI_281871_1
virtual	166	1.81759	EcoRI_281871_2
virtual	167	0.376606	EcoRI_281877_1
virtual	168	NA	EcoRI_281881_1
virtual	169	NA	EcoRI_281890_1
virtual	170	1.44033	EcoRI_281891_1
virtual	171	0.337025	EcoRI_281894_1
virtual	172	0.0820536	EcoRI_281906_1
virtual	173	1.27043	EcoRI_281908_1
virtual	174	0.21659	EcoRI_281909_1
virtual	175	NA	EcoRI_281913_1
virtual	176	0.335349	EcoRI_281915_1
virtual	177	NA	EcoRI_281916_1
virtual	178	NA	EcoRI_281919_1
virtual	179	0.259219	EcoRI_281920_1
virtual	180	0.363883	EcoRI_281922_1
virtual	181	NA	EcoRI_281924_1
virtual	182	0.522271	EcoRI_281925_1
virtual	183	0.125385	EcoRI_281927_1
virtual	184	0.761728	EcoRI_281928_1
virtual	185	0.202317	EcoRI_281929_1
virtual	186	0.0276907	EcoRI_281930_1
virtual	187	0.189143	EcoRI_281932_1
virtual	188	NA	EcoRI_281933_1
virtual	189	NA	EcoRI_281934_1
virtual	190	0.18157	EcoRI_281935_1
virtual	191	NA	EcoRI_281937_1
virtual	192	0.546835	EcoRI_281939_1
virtual	193	0.538037	EcoRI_281940_1
virtual	194	0.281972	EcoRI_281941_1
virtual	195	0.233803	EcoRI_281942_1
virtual	196	NA	EcoRI_281944_1
virtual	197	NA	EcoRI_281945_1
virtual	198	0.311011	EcoRI_281946_1
virtual	199	NA	EcoRI_281949_1
virtual	200	NA	EcoRI_281950_1
virtual	201	0.342065	EcoRI_281951_1
virtual	202	1.23441	EcoRI_281955_1
virtual	203	0.145081	EcoRI_281956_1
virtual	204	0.180871	EcoRI_281957_1
virtual	205	0.180871	EcoRI_281957_2
virtual	206	1.58469	EcoRI_281958_1
virtual	207	NA	EcoRI_281959_1
virtual	208	NA	EcoRI_281959_2
virtual	209	0.404316	EcoRI_281960_1
virtual	210	NA	EcoRI_281961_1
virtual	211	0.661882	EcoRI_281962_1
virtual	212	0.661882	EcoRI_281962_2
virtual	213	NA	EcoRI_281963_1
virtual	214	0.600603	EcoRI_281964_1
virtual	215	NA	EcoRI_281965_1
virtual	216	NA	EcoRI_281966_1
virtual	217	1.78489	EcoRI_281967_1
virtual	218	0.533562	EcoRI_281968_1
virtual	219	NA	EcoRI_281969_1
virtual	220	0.0489492	EcoRI_281970_1
virtual	221	0.0964759	EcoRI_281971_1
virtual	222	NA	EcoRI_281972_1
virtual	223	NA	EcoRI_281972_2
virtual	224	NA	EcoRI_281973_1
virtual	225	0.427849	EcoRI_281974_1
virtual	226	NA	EcoRI_281975_1
virtual	227	NA	EcoRI_281975_2
virtual	228	NA	EcoRI_281976_1
virtual	229	NA	EcoRI_281977_1
virtual	230	NA	EcoRI_281978_1
virtual	231	NA	EcoRI_281979_1
virtual	232	NA	EcoRI_281979_2
virtual	233	0.350286	EcoRI_281980_1
virtual	234	0.350286	EcoRI_281980_2
virtual	235	NA	EcoRI_281981_1
virtual	236	NA	EcoRI_281981_2
virtual	237	NA	EcoRI_281982_1
virtual	238	NA	EcoRI_281982_2
virtual	239	0.254051	EcoRI_281983_1
virtual	240	0.36229	EcoRI_281984_1
virtual	241	NA	EcoRI_281985_1
virtual	242	NA	EcoRI_281986_1
virtual	243	NA	EcoRI_281987_1
virtual	244	NA	EcoRI_281987_2
virtual	245	NA	EcoRI_281988_1
virtual	246	NA	EcoRI_281989_1
virtual	247	NA	EcoRI_281989_2
virtual	248	NA	EcoRI_281990_1
virtual	249	NA	EcoRI_281990_2
virtual	250	NA	EcoRI_281991_1
virtual	251	1.85356	EcoRI_281992_1
virtual	252	1.58754	EcoRI_281993_1
virtual	253	0.853996	EcoRI_281994_1
virtual	254	0.644453	EcoRI_281995_1
virtual	255	0.644453	EcoRI_281995_2
virtual	256	0.018195	EcoRI_281996_1
virtual	257	0.0999717	EcoRI_281997_1
virtual	258	0.0999717	EcoRI_281997_2
virtual	259	NA	EcoRI_281998_1
virtual	260	NA	EcoRI_281998_2
virtual	261	0.634943	EcoRI_281999_1
virtual	262	NA	EcoRI_282000_1
virtual	263	0.36171	EcoRI_282001_1
virtual	264	NA	EcoRI_282002_1
virtual	265	NA	EcoRI_282003_1
virtual	266	NA	EcoRI_282004_1
virtual	267	0.578248	EcoRI_282005_1
virtual	268	0.438887	EcoRI_282006_1
virtual	269	0.187341	EcoRI_282007_1
virtual	270	0.104025	EcoRI_282008_1
virtual	271	NA	EcoRI_282009_1
virtual	272	0.183017	EcoRI_282010_1
virtual	273	NA	EcoRI_282011_1
virtual	274	NA	EcoRI_282012_1
virtual	275	0.0642157	EcoRI_282013_1
virtual	276	0.0642157	EcoRI_282013_2
virtual	277	2.34582	EcoRI_282014_1
virtual	278	2.34582	EcoRI_282014_2
virtual	279	0.0930619	EcoRI_282015_1
virtual	280	NA	EcoRI_282016_1
virtual	281	NA	EcoRI_282017_1
virtual	282	0.606109	EcoRI_282018_1
virtual	283	0.606109	EcoRI_282018_2
virtual	284	NA	EcoRI_282019_1
virtual	285	0.14788	EcoRI_282020_1
virtual	286	NA	EcoRI_286164_1
virtual	287	NA	EcoRI_294230_1
virtual	288	0.0324239	EcoRI_296174_2
virtual	289	0.612966	EcoRI_301849_2
virtual	290	0.576803	EcoRI_307132_1
virtual	291	0.0980624	EcoRI_307419_2
virtual	292	0.273925	EcoRI_308111_2
virtual	293	0.877456	EcoRI_311425_2
virtual	294	0.397452	EcoRI_312681_2
virtual	295	0.121312	EcoRI_316937_2
virtual	296	NA	EcoRI_317526_1
virtual	297	NA	EcoRI_317568_1
virtual	298	0.0469897	EcoRI_326810_2
virtual	299	1.05695	EcoRI_329418_2
virtual	300	0.398614	EcoRI_334638_2
virtual	301	0.525332	EcoRI_335167_2
virtual	302	NA	EcoRI_335894_1
virtual	303	0.228324	EcoRI_335972_1
virtual	304	0.630042	EcoRI_336015_1
virtual	305	NA	EcoRI_336167_2
virtual	306	0.377154	EcoRI_336238_1
virtual	307	NA	EcoRI_336332_1
virtual	308	0.293479	EcoRI_336351_1
virtual	309	0.673296	EcoRI_336352_1
virtual	310	0.464681	EcoRI_336391_1
virtual	311	0.385113	EcoRI_336392_1
virtual	312	0.807182	EcoRI_336437_1
virtual	313	0.538592	EcoRI_336443_2
virtual	314	0.258998	EcoRI_336448_2
virtual	315	NA	EcoRI_336469_2
virtual	316	NA	EcoRI_336474_2
virtual	317	0.111478	EcoRI_336520_2
virtual	318	0.120027	EcoRI_336630_1
virtual	319	NA	EcoRI_336643_1
virtual	320	0.70832	EcoRI_336661_1
virtual	321	NA	EcoRI_336663_1
virtual	322	0.39612	EcoRI_336670_1
virtual	323	NA	EcoRI_336705_1
virtual	324	NA	EcoRI_336712_2
virtual	325	NA	EcoRI_336713_1
virtual	326	0.566102	EcoRI_336727_2
virtual	327	NA	EcoRI_336737_2
virtual	328	0.8443	EcoRI_336743_2
virtual	329	NA	EcoRI_336750_2
virtual	330	0.76065	EcoRI_336760_1
virtual	331	NA	EcoRI_336774_2
virtual	332	NA	EcoRI_336775_2
virtual	333	NA	EcoRI_336777_1
virtual	334	0.269694	EcoRI_336789_1
virtual	335	NA	EcoRI_336801_1
virtual	336	0.163201	EcoRI_336814_2
virtual	337	NA	EcoRI_336816_2
virtual	338	NA	EcoRI_336823_2
virtual	339	0.00756579	EcoRI_336839_2
virtual	340	NA	EcoRI_336844_1
virtual	341	0.722207	EcoRI_336846_2
virtual	342	0.616436	EcoRI_336848_1
virtual	343	0.123315	EcoRI_336849_2
virtual	344	0.0896638	EcoRI_336868_2
virtual	345	0.0646288	EcoRI_336871_1
virtual	346	NA	EcoRI_336873_2
virtual	347	0.258525	EcoRI_336877_1
virtual	348	0.0865835	EcoRI_336882_1
virtual	349	NA	EcoRI_336887_1
virtual	350	NA	EcoRI_336895_1
virtual	351	0.390224	EcoRI_336897_2
virtual	352	NA	EcoRI_336899_1
virtual	353	NA	EcoRI_336905_1
virtual	354	NA	EcoRI_336912_2
virtual	355	0.354155	EcoRI_336914_2
virtual	356	NA	EcoRI_336916_1
virtual	357	NA	EcoRI_336922_2
virtual	358	0.360812	EcoRI_336923_1
virtual	359	NA	EcoRI_336925_2
virtual	360	0.118621	EcoRI_336929_1
virtual	361	0.294384	EcoRI_336931_1
virtual	362	0.323306	EcoRI_336938_1
virtual	363	NA	EcoRI_336940_2
virtual	364	NA	EcoRI_336941_2
virtual	365	NA	EcoRI_336942_2
virtual	366	1.49241	EcoRI_336944_2
virtual	367	NA	EcoRI_336945_1
virtual	368	NA	EcoRI_336947_2
virtual	369	0.455386	EcoRI_336949_2
virtual	370	NA	EcoRI_336951_2
virtual	371	0.336026	EcoRI_336954_2
virtual	372	0.00801679	EcoRI_336957_1
virtual	373	0.471816	EcoRI_336958_1
virtual	374	0.364335	EcoRI_336960_2
virtual	375	0.102499	EcoRI_336961_2
virtual	376	0.421109	EcoRI_336963_2
virtual	377	0.0135732	EcoRI_336965_1
virtual	378	NA	EcoRI_336968_2
virtual	379	0.202372	EcoRI_336972_1
virtual	380	0.247567	EcoRI_336973_2
virtual	381	0.360563	EcoRI_336974_1
virtual	382	0.0314517	EcoRI_336979_2
virtual	383	0.0245682	EcoRI_336980_1
virtual	384	0.0864669	EcoRI_336982_2
virtual	385	0.129087	EcoRI_336983_1
virtual	386	NA	EcoRI_336984_2
virtual	387	0.334119	EcoRI_336985_1
virtual	388	NA	EcoRI_336986_1
virtual	389	NA	EcoRI_336987_2
virtual	390	0.932483	EcoRI_336988_1
virtual	391	0.277588	EcoRI_336989_2
virtual	392	0.324891	EcoRI_336990_1
virtual	393	NA	EcoRI_336992_2
virtual	394	NA	EcoRI_336993_1
virtual	395	NA	EcoRI_336997_2
virtual	396	NA	EcoRI_336998_1
virtual	397	0.310141	EcoRI_336999_1
virtual	398	NA	EcoRI_337000_2
virtual	399	NA	EcoRI_337001_1
virtual	400	NA	EcoRI_337002_1
virtual	401	NA	EcoRI_337003_2
virtual	402	0.157928	EcoRI_337004_1
virtual	403	NA	EcoRI_337005_2
virtual	404	NA	EcoRI_337006_1
virtual	405	NA	EcoRI_337007_1
virtual	406	0.238501	EcoRI_337009_1
virtual	407	0.321063	EcoRI_337010_1
virtual	408	0.19962	EcoRI_337011_1
virtual	409	0.668795	EcoRI_337012_1
virtual	410	0.480198	EcoRI_337014_2
virtual	411	0.0180229	EcoRI_337015_1
virtual	412	NA	EcoRI_337016_1
virtual	413	0.360245	EcoRI_337017_1
virtual	414	NA	EcoRI_337017_2
virtual	415	NA	EcoRI_337018_1
virtual	416	NA	EcoRI_337018_2
virtual	417	0.330776	EcoRI_337019_1
virtual	418	0.597086	EcoRI_337020_1
virtual	419	0.860341	EcoRI_337021_2
virtual	420	NA	EcoRI_337022_1
virtual	421	NA	EcoRI_337023_1
virtual	422	0.444277	EcoRI_337024_1
virtual	423	NA	EcoRI_337025_1
virtual	424	NA	EcoRI_337025_2
virtual	425	0.454483	EcoRI_337026_2
virtual	426	0.256098	EcoRI_337027_2
virtual	427	NA	EcoRI_337028_1
virtual	428	0.1964	EcoRI_337030_1
virtual	429	0.0710974	EcoRI_337031_1
virtual	430	NA	EcoRI_337032_1
virtual	431	NA	EcoRI_337033_2
virtual	432	0.505261	EcoRI_337034_1
virtual	433	0.847742	EcoRI_337035_1
virtual	434	0.341674	EcoRI_337036_1
virtual	435	NA	EcoRI_337036_2
virtual	436	NA	EcoRI_337037_2
virtual	437	NA	EcoRI_337038_1
virtual	438	0.755822	EcoRI_337039_2
virtual	439	NA	EcoRI_337040_1
virtual	440	0.394156	EcoRI_337041_2
virtual	441	NA	EcoRI_337042_2
virtual	442	NA	EcoRI_337043_2
virtual	443	0.288572	EcoRI_337044_1
virtual	444	0.536241	EcoRI_337044_2
virtual	445	NA	EcoRI_337045_1
virtual	446	0.179352	EcoRI_337045_2
virtual	447	0.228493	EcoRI_337046_2
virtual	448	0.51807	EcoRI_337047_2
virtual	449	NA	EcoRI_337048_1
virtual	450	NA	EcoRI_337049_1
virtual	451	NA	EcoRI_337049_2
virtual	452	0.699426	EcoRI_337050_1
virtual	453	0.508624	EcoRI_337051_1
virtual	454	2.07007	EcoRI_337052_2
virtual	455	NA	EcoRI_337054_1
virtual	456	0.34054	EcoRI_337056_2
virtual	457	0.221227	EcoRI_337057_2
virtual	458	0.0408011	EcoRI_337058_2
virtual	459	NA	EcoRI_337059_2
virtual	460	0.290747	EcoRI_337060_2
virtual	461	0.589172	EcoRI_337061_2
virtual	462	0.0851599	EcoRI_337062_1
virtual	463	0.878375	EcoRI_337063_2
virtual	464	0.0645532	EcoRI_337064_1
virtual	465	0.629006	EcoRI_337065_1
virtual	466	0.608888	EcoRI_337066_2
virtual	467	0.136398	EcoRI_337067_1
virtual	468	0.662261	EcoRI_337068_1
virtual	469	0.412536	EcoRI_337069_1
virtual	470	0.0834039	EcoRI_337932_1
virtual	471	NA	EcoRI_337944_1
virtual	472	0.0946629	EcoRI_337945_2
virtual	473	NA	EcoRI_337962_2
virtual	474	0.0996875	EcoRI_337963_2
virtual	475	NA	EcoRI_337964_1
virtual	476	0.433845	EcoRI_337965_2
virtual	477	NA	EcoRI_337967_1
virtual	478	0.259835	EcoRI_337971_2
virtual	479	NA	NlaIII_13548_1
virtual	480	NA	NlaIII_13548_2
virtual	481	0.932594	NlaIII_26791_1
virtual	482	0.932594	NlaIII_26791_2
virtual	483	NA	NlaIII_30936_1
virtual	484	NA	NlaIII_33420_1
virtual	485	0.183745	NlaIII_47345_1
virtual	486	0.183745	NlaIII_47345_2
virtual	487	0.0877567	NlaIII_49222_1
virtual	488	0.0877567	NlaIII_49222_2
virtual	489	0.106632	NlaIII_58982_1
virtual	490	0.106632	NlaIII_58982_2
virtual	491	NA	NlaIII_73413_1
virtual	492	0.304807	NlaIII_87556_1
virtual	493	0.304807	NlaIII_87556_2
virtual	494	0.458521	NlaIII_89089_1
virtual	495	0.458521	NlaIII_89089_2
virtual	496	NA	NlaIII_89348_1
virtual	497	NA	NlaIII_89348_2
virtual	498	NA	NlaIII_97914_1
virtual	499	NA	NlaIII_97914_2
virtual	500	NA	NlaIII_101980_1
virtual	501	0.359221	NlaIII_112152_1
virtual	502	NA	NlaIII_132541_1
virtual	503	NA	NlaIII_132541_2
virtual	504	NA	NlaIII_152989_1
virtual	505	NA	NlaIII_152989_2
virtual	506	1.27877	NlaIII_167295_1
virtual	507	NA	NlaIII_167392_1
virtual	508	NA	NlaIII_167392_2
virtual	509	0.00288459	NlaIII_192029_1
virtual	510	0.135833	NlaIII_192408_1
virtual	511	NA	NlaIII_193208_1
virtual	512	0.126331	NlaIII_221985_1
virtual	513	0.126331	NlaIII_221985_2
virtual	514	NA	NlaIII_225354_1
virtual	515	NA	NlaIII_225354_2
virtual	516	1.04735	NlaIII_229266_1
virtual	517	NA	NlaIII_229736_1
virtual	518	NA	NlaIII_229736_2
virtual	519	NA	NlaIII_233482_1
virtual	520	NA	NlaIII_233482_2
virtual	521	0.323526	NlaIII_233637_1
virtual	522	NA	NlaIII_238850_1
virtual	523	0.426641	NlaIII_239864_1
virtual	524	NA	NlaIII_252596_1
virtual	525	0.188144	NlaIII_253231_1
virtual	526	NA	NlaIII_274758_1
virtual	527	NA	NlaIII_274758_2
virtual	528	NA	NlaIII_276758_1
virtual	529	1.2392	NlaIII_307949_1
virtual	530	1.2392	NlaIII_307949_2
virtual	531	0.0775704	NlaIII_315290_1
virtual	532	0.0775704	NlaIII_315290_2
virtual	533	NA	NlaIII_332858_1
virtual	534	NA	NlaIII_332858_2
virtual	535	0.0445769	NlaIII_335696_1
virtual	536	0.238237	NlaIII_338909_1
virtual	537	0.286031	NlaIII_341229_1
virtual	538	0.334419	NlaIII_350904_1
virtual	539	NA	NlaIII_355909_1
virtual	540	NA	NlaIII_362406_1
virtual	541	NA	NlaIII_362406_2
virtual	542	2.27165	NlaIII_374118_1
virtual	543	2.27165	NlaIII_374118_2
virtual	544	0.0453138	NlaIII_379670_1
virtual	545	0.202573	NlaIII_386291_1
virtual	546	0.117572	NlaIII_390001_1
virtual	547	NA	NlaIII_397214_1
virtual	548	0.241065	NlaIII_406841_1
virtual	549	0.248428	NlaIII_407708_1
virtual	550	0.103849	NlaIII_410377_1
virtual	551	0.626095	NlaIII_410589_1
virtual	552	0.15357	NlaIII_410646_1
virtual	553	1.009	NlaIII_410647_1
virtual	554	0.312043	NlaIII_410648_1
virtual	555	0.385134	NlaIII_410653_1
virtual	556	NA	NlaIII_410654_1
virtual	557	0.172024	NlaIII_410661_1
virtual	558	NA	NlaIII_410662_1
virtual	559	0.718648	NlaIII_410663_1
virtual	560	0.727833	NlaIII_410664_1
virtual	561	0.348577	NlaIII_410669_1
virtual	562	NA	NlaIII_410670_1
virtual	563	0.879492	NlaIII_410671_1
virtual	564	NA	NlaIII_410675_1
virtual	565	0.0358724	NlaIII_410677_1
virtual	566	0.0358724	NlaIII_410677_2
virtual	567	NA	NlaIII_410678_1
virtual	568	NA	NlaIII_410679_1
virtual	569	NA	NlaIII_410680_1
virtual	570	NA	NlaIII_410681_1
virtual	571	NA	NlaIII_410682_1
virtual	572	1.37882	NlaIII_410683_1
virtual	573	0.585311	NlaIII_410684_1
virtual	574	0.749239	NlaIII_410685_1
virtual	575	0.749239	NlaIII_410685_2
virtual	576	NA	NlaIII_410686_1
virtual	577	0.212866	NlaIII_410687_1
virtual	578	0.0287056	NlaIII_410688_1
virtual	579	0.2512	NlaIII_410689_1
virtual	580	NA	NlaIII_436998_1
virtual	581	0.444422	NlaIII_439764_2
virtual	582	1.38796	NlaIII_446378_2
virtual	583	NA	NlaIII_453750_2
virtual	584	0.117641	NlaIII_477180_1
virtual	585	NA	NlaIII_489052_1
virtual	586	NA	NlaIII_489280_1
virtual	587	0.141992	NlaIII_489299_1
virtual	588	NA	NlaIII_489321_2
virtual	589	NA	NlaIII_489331_1
virtual	590	NA	NlaIII_489335_2
virtual	591	0.970129	NlaIII_489400_2
virtual	592	0.031489	NlaIII_489414_2
virtual	593	0.627843	NlaIII_489425_1
virtual	594	0.214535	NlaIII_489449_2
virtual	595	NA	NlaIII_489460_1
virtual	596	0.588936	NlaIII_489475_1
virtual	597	0.890691	NlaIII_489486_2
virtual	598	1.00784	NlaIII_489499_1
virtual	599	0.0232237	NlaIII_489518_1
virtual	600	0.135513	NlaIII_489530_1
virtual	601	0.239012	NlaIII_489540_2
virtual	602	NA	NlaIII_489541_1
virtual	603	0.09691	NlaIII_489542_2
virtual	604	0.285612	NlaIII_489543_1
virtual	605	0.0282094	NlaIII_489545_1
virtual	606	0.753428	NlaIII_489547_1
virtual	607	0.191586	NlaIII_489548_2
virtual	608	0.518715	NlaIII_489549_2
virtual	609	NA	NlaIII_489550_2
virtual	610	1.1749	NlaIII_489551_1
virtual	611	0.0653299	NlaIII_489553_2
virtual	612	0.122548	NlaIII_489554_1
virtual	613	0.28505	NlaIII_489557_1
virtual	614	NA	NlaIII_489558_1
virtual	615	0.402228	NlaIII_489561_2
virtual	616	NA	NlaIII_489564_2
virtual	617	0.119964	NlaIII_489565_2
virtual	618	0.101928	NlaIII_489568_2
virtual	619	NA	NlaIII_489569_2
virtual	620	0.263508	NlaIII_489570_1
virtual	621	0.240272	NlaIII_489572_1
virtual	622	NA	NlaIII_489573_1
virtual	623	0.0446779	NlaIII_489574_1
virtual	624	0.0236638	NlaIII_489576_2
virtual	625	NA	NlaIII_489578_1
virtual	626	0.527244	NlaIII_489579_1
virtual	627	0.114006	NlaIII_489580_2
virtual	628	0.65396	NlaIII_489581_2
virtual	629	0.366178	NlaIII_489582_1
virtual	630	NA	NlaIII_489583_1
virtual	631	0.637216	NlaIII_489585_1
virtual	632	NA	NlaIII_489586_1
virtual	633	0.00863214	NlaIII_489586_2
virtual	634	NA	NlaIII_489587_2
virtual	635	NA	NlaIII_489588_2
virtual	636	0.487262	NlaIII_489589_2
virtual	637	0.727393	NlaIII_489590_1
virtual	638	NA	NlaIII_489834_1
virtual	639	NA	NlaIII_491074_1
