Geneid	RB_0d-1	RB_0d-2	RB_0d-3	SB_0d-1	SB_0d-2	SB_0d-3	RB_28d-1	RB_28d-2	RB_28d-3	SB_28d-1	SB_28d-2	SB_28d-3	RB_7d-1	RB_7d-2	RB_7d-3	SB_7d-1	SB_7d-2	SB_7d-3
PLBR_LOCUS142	0.000	0.000	0.000	0.000	0.000	0.000	0.529	0.210	0.062	6.748	9.155	10.156	0.083	0.029	0.217	0.197	0.286	0.028
PLBR_LOCUS143	0.063	0.000	0.000	0.000	0.000	0.000	0.078	0.000	0.000	0.203	0.866	13.467	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS144	0.025	0.000	0.000	0.000	0.000	0.000	0.431	1.179	0.129	13.382	11.700	10.439	0.000	0.000	0.000	0.077	0.436	0.000
PLBR_LOCUS145	0.000	0.000	0.000	0.063	0.000	0.053	0.671	0.378	0.260	37.542	90.503	61.309	0.000	0.069	0.098	0.030	0.501	0.000
PLBR_LOCUS146	0.000	0.000	0.000	0.000	0.000	0.080	1.060	0.945	0.223	60.539	68.317	63.050	0.000	0.104	0.196	0.000	1.597	0.000
PLBR_LOCUS147	0.000	0.024	0.000	0.000	0.000	0.000	0.051	0.161	0.054	12.112	14.431	7.092	0.000	0.000	0.000	0.022	0.228	0.000
PLBR_LOCUS148	0.157	0.000	0.000	0.000	0.000	0.058	4.231	6.852	1.672	227.409	244.890	156.344	0.037	0.304	0.143	1.461	11.005	0.220
PLBR_LOCUS149	0.171	0.000	0.000	0.000	0.000	0.000	0.318	0.662	0.334	129.161	127.330	98.953	0.000	0.207	0.196	0.089	1.973	0.100
PLBR_LOCUS150	0.045	0.105	0.000	0.050	0.024	0.000	9.999	13.322	1.702	122.512	99.555	129.845	0.079	0.137	0.567	2.616	10.245	0.264
PLBR_LOCUS151	0.000	0.118	0.075	0.037	0.036	0.000	4.368	6.527	1.093	169.390	233.016	175.816	0.118	0.529	0.038	1.427	6.413	0.275
PLBR_LOCUS152	0.035	0.000	0.000	0.000	0.038	0.000	1.122	1.500	0.363	29.201	32.547	34.555	0.163	0.042	0.318	0.144	1.988	0.000
PLBR_LOCUS153	0.000	0.000	0.000	0.000	0.039	0.000	0.045	0.079	0.000	10.800	11.685	6.147	0.000	0.000	0.082	0.000	0.079	0.000
PLBR_LOCUS154	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.293	9.197	7.818	4.497	0.053	0.055	0.258	0.140	0.148	0.000
PLBR_LOCUS155	0.000	0.095	0.092	0.091	0.088	0.152	28.922	44.625	8.606	330.344	198.131	272.911	2.197	0.396	4.384	6.681	50.890	0.764
PLBR_LOCUS156	0.000	0.030	0.000	0.028	0.000	0.000	0.883	1.238	0.431	48.034	59.921	49.898	0.060	0.185	0.029	0.317	2.795	0.000
PLBR_LOCUS157	0.013	0.000	0.000	0.015	0.014	0.000	1.944	3.161	0.841	48.670	64.097	52.242	0.000	0.048	0.060	1.189	1.882	0.093
PLBR_LOCUS158	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.520	0.782	0.000	0.000	0.000	0.000	0.000	0.000
PLBR_LOCUS159	0.000	0.000	0.000	0.000	0.000	0.000	0.349	0.233	0.000	7.485	11.659	3.149	0.000	0.000	0.000	0.000	0.155	0.000
PLBR_LOCUS160	0.000	0.052	0.000	0.000	0.000	0.000	2.493	2.123	0.349	74.971	78.789	70.497	0.105	0.054	0.307	0.371	5.055	0.105
PLBR_LOCUS161	0.000	0.060	0.000	0.019	0.000	0.000	1.392	2.081	0.315	40.222	40.274	36.669	0.000	0.063	0.079	0.251	2.314	0.040
PLBR_LOCUS162	0.000	0.000	0.000	0.165	0.000	0.000	2.949	6.818	2.904	162.564	132.454	135.946	0.174	0.090	0.085	0.771	12.164	0.000
PLBR_LOCUS163	0.000	0.000	0.000	0.000	0.000	0.000	0.817	1.569	0.396	19.502	18.242	17.407	0.000	0.000	0.000	0.315	1.782	0.000
PLBR_LOCUS164	0.000	0.000	0.000	0.000	0.000	0.034	0.714	1.193	0.516	33.516	54.006	37.957	0.042	0.000	0.123	0.410	2.253	0.042
PLBR_LOCUS165	0.027	0.000	0.091	0.000	0.000	0.050	1.802	2.409	0.666	71.007	90.594	58.928	0.032	0.098	0.000	0.670	3.488	0.095
PLBR_LOCUS166	0.000	0.000	0.000	0.013	0.025	0.011	1.882	2.991	0.521	28.031	30.295	24.787	0.000	0.057	0.013	0.476	1.008	0.083
PLBR_LOCUS167	0.000	0.000	0.000	0.000	0.000	0.000	0.029	0.078	0.031	3.033	3.529	2.308	0.000	0.000	0.000	0.000	0.026	0.000
PLBR_LOCUS168	0.000	0.000	0.108	0.000	0.207	0.089	14.611	24.146	5.117	437.977	490.096	479.358	0.224	0.465	0.219	6.855	36.205	0.673
PLBR_LOCUS169	0.000	0.000	0.000	0.000	0.000	0.000	1.886	4.132	0.495	54.324	72.988	70.983	0.000	0.000	0.290	1.051	4.455	0.000
PLBR_LOCUS170	0.000	0.000	0.000	0.000	0.000	0.000	0.568	0.795	0.170	30.848	36.259	30.107	0.000	0.119	0.037	0.034	0.647	0.115
PLBR_LOCUS171	0.000	0.000	0.000	0.000	0.186	0.000	0.000	0.063	0.150	36.332	51.502	8.003	0.000	0.070	0.000	0.000	0.000	0.067
PLBR_LOCUS172	0.000	0.000	0.000	0.000	0.000	0.000	0.580	1.699	0.348	39.343	41.337	36.050	0.000	0.081	0.000	0.277	1.615	0.078
PLBR_LOCUS173	0.036	0.000	0.000	0.020	0.000	0.000	3.549	6.207	1.085	61.750	66.042	64.727	0.064	0.066	0.041	1.334	3.880	0.106
PLBR_LOCUS174	0.374	0.000	0.000	0.000	0.000	0.000	8.584	17.580	2.437	621.355	635.029	348.061	0.658	0.227	1.070	1.940	32.065	0.219
PLBR_LOCUS175	0.025	0.030	0.000	0.056	0.000	0.000	1.385	2.624	0.347	31.392	33.696	25.250	0.000	0.000	0.044	0.369	1.924	0.000
