Chr	start	end	number
chr2	2300000	2399999	3
chr2	2500000	2599999	1
chr2	2600000	2699999	1
chr2	2900000	2999999	3
chr2	3300000	3399999	1
chr2	3400000	3499999	1
chr2	3500000	3599999	1
chr2	3600000	3699999	1
chr2	3700000	3799999	2
chr2	4000000	4099999	3
chr2	4200000	4299999	1
chr2	4300000	4399999	4
chr2	4400000	4499999	1
chr2	4500000	4599999	3
chr2	4700000	4799999	1
chr2	4900000	4999999	2
chr2	5000000	5099999	3
chr2	5600000	5699999	1
chr2	5800000	5899999	1
chr2	6000000	6099999	3
chr2	6100000	6199999	1
chr2	6300000	6399999	2
chr2	6400000	6499999	2
chr2	6500000	6599999	2
chr2	6600000	6699999	1
chr2	6700000	6799999	1
chr2	7000000	7099999	1
chr2	7100000	7199999	2
chr2	7200000	7299999	3
chr2	7300000	7399999	2
chr2	7500000	7599999	1
chr2	7600000	7699999	3
chr2	7700000	7799999	2
chr2	7800000	7899999	1
chr2	7900000	7999999	1
chr2	8100000	8199999	1
chr2	8200000	8299999	1
chr2	8300000	8399999	1
chr2	8400000	8499999	2
chr2	8600000	8699999	1
chr2	8700000	8799999	1
chr2	9100000	9199999	2
chr2	9300000	9399999	1
chr2	9600000	9699999	1
chr2	9800000	9899999	1
chr2	10300000	10399999	1
chr2	10400000	10499999	3
chr2	10800000	10899999	1
chr2	11300000	11399999	1
chr2	11600000	11699999	2
chr2	12200000	12299999	2
chr2	12400000	12499999	3
chr2	12700000	12799999	2
chr2	12800000	12899999	3
chr2	13100000	13199999	1
chr2	13200000	13299999	1
chr2	13400000	13499999	4
chr2	13700000	13799999	2
chr2	14200000	14299999	1
chr2	14300000	14399999	2
chr2	14400000	14499999	3
chr2	14600000	14699999	3
chr2	14700000	14799999	1
chr2	14800000	14899999	1
chr2	15100000	15199999	1
chr2	15200000	15299999	1
chr2	15300000	15399999	3
chr2	15400000	15499999	1
chr2	15600000	15699999	2
chr2	15800000	15899999	1
chr2	15900000	15999999	1
chr2	16200000	16299999	1
chr2	16300000	16399999	1
chr2	16500000	16599999	1
chr2	16700000	16799999	2
chr2	17000000	17099999	1
chr2	17800000	17899999	1
chr2	18100000	18199999	2
chr2	18300000	18399999	3
chr2	18500000	18599999	1
chr2	18600000	18699999	3
chr2	18800000	18899999	3
chr2	18900000	18999999	1
chr2	19300000	19399999	2
chr2	19600000	19699999	1
chr2	19800000	19899999	1
chr2	19900000	19999999	1
chr2	20000000	20099999	1
chr2	20200000	20299999	3
chr2	20300000	20399999	1
chr2	20400000	20499999	1
chr2	20600000	20699999	1
chr2	20700000	20799999	2
chr2	20800000	20899999	2
chr2	20900000	20999999	1
chr2	21000000	21099999	2
chr2	21100000	21199999	1
chr2	21400000	21499999	1
chr2	21500000	21599999	1
chr2	21700000	21799999	2
chr2	22000000	22099999	2
chr2	22200000	22299999	1
chr2	22300000	22399999	2
chr2	22700000	22799999	2
chr2	23000000	23099999	1
chr2	23300000	23399999	1
chr2	23400000	23499999	1
chr2	23500000	23599999	1
chr2	23600000	23699999	3
chr2	23900000	23999999	1
chr2	24000000	24099999	1
chr2	24100000	24199999	2
chr2	24300000	24399999	1
chr2	24500000	24599999	1
chr2	24600000	24699999	2
chr2	25000000	25099999	2
chr2	25100000	25199999	1
chr2	25600000	25699999	4
chr2	25900000	25999999	2
chr2	26000000	26099999	1
chr2	26100000	26199999	1
chr2	26200000	26299999	1
chr2	26400000	26499999	1
chr2	26500000	26599999	1
chr2	26600000	26699999	2
chr2	26700000	26799999	1
chr2	27000000	27099999	1
chr2	27100000	27199999	1
chr2	27300000	27399999	1
chr2	27500000	27599999	1
chr2	27600000	27699999	2
chr2	27700000	27799999	1
chr2	28000000	28099999	3
chr2	28100000	28199999	2
chr2	28300000	28399999	1
chr2	28500000	28599999	1
chr2	28600000	28699999	1
chr2	28800000	28899999	3
chr2	29000000	29099999	2
chr2	29200000	29299999	1
chr2	29300000	29399999	1
chr2	29400000	29499999	1
chr2	29500000	29599999	2
chr2	29700000	29799999	1
chr2	30000000	30099999	1
chr2	30100000	30199999	3
chr2	30400000	30499999	1
chr2	30500000	30599999	2
chr2	30800000	30899999	4
chr2	31200000	31299999	1
chr2	31300000	31399999	1
chr2	31400000	31499999	1
chr2	31500000	31599999	1
chr2	31600000	31699999	1
chr2	31900000	31999999	3
chr2	32000000	32099999	3
chr2	32200000	32299999	3
chr2	32300000	32399999	1
chr2	32700000	32799999	1
chr2	32900000	32999999	1
chr2	33000000	33099999	1
chr2	33100000	33199999	2
chr2	33200000	33299999	1
chr2	33700000	33799999	1
chr2	34700000	34799999	2
chr2	34900000	34999999	1
chr2	35100000	35199999	1
chr2	35400000	35499999	1
chr2	35500000	35599999	2
chr2	35600000	35699999	1
chr2	35700000	35799999	1
chr2	35800000	35899999	1
chr2	36000000	36099999	3
chr2	36100000	36199999	1
chr2	36200000	36299999	2
chr2	36300000	36399999	1
chr2	36500000	36599999	1
chr2	36700000	36799999	1
chr2	36900000	36999999	1
chr2	37000000	37099999	1
chr2	37100000	37199999	1
chr2	37200000	37299999	1
chr2	37300000	37399999	1
chr2	37400000	37499999	1
chr2	37500000	37599999	1
chr2	37800000	37899999	1
chr2	37900000	37999999	1
chr2	38000000	38099999	3
chr2	38100000	38199999	4
chr2	38200000	38299999	1
chr2	38500000	38599999	3
chr2	38600000	38699999	2
chr2	38700000	38799999	1
chr2	38900000	38999999	2
chr2	39000000	39099999	1
chr2	39600000	39699999	1
chr2	40000000	40099999	1
chr2	40100000	40199999	1
chr2	40500000	40599999	1
chr2	40600000	40699999	2
chr2	40700000	40799999	3
chr2	40800000	40899999	1
chr2	40900000	40999999	1
chr2	41000000	41099999	1
chr2	41200000	41299999	1
chr2	41400000	41499999	1
chr2	41500000	41599999	1
chr2	41700000	41799999	1
chr2	41900000	41999999	1
chr2	42000000	42099999	1
chr2	42100000	42199999	2
chr2	42200000	42299999	1
chr2	42800000	42899999	1
chr2	43300000	43399999	2
chr2	43400000	43499999	2
chr2	43500000	43599999	1
chr2	43600000	43699999	3
chr2	43700000	43799999	2
chr2	43800000	43899999	1
chr2	44000000	44099999	2
chr2	44100000	44199999	1
chr2	44300000	44399999	1
chr2	44500000	44599999	1
chr2	44600000	44699999	1
chr2	44700000	44799999	1
chr2	44900000	44999999	1
chr2	45000000	45099999	2
chr2	45100000	45199999	2
chr2	45200000	45299999	1
chr2	45300000	45399999	3
chr2	45500000	45599999	1
chr2	45600000	45699999	1
chr2	45700000	45799999	1
chr2	46000000	46099999	1
chr2	46100000	46199999	1
chr2	46200000	46299999	2
chr2	46300000	46399999	1
chr2	46400000	46499999	1
chr2	46600000	46699999	1
chr2	47000000	47099999	1
chr2	47100000	47199999	1
chr2	47300000	47399999	1
chr2	47600000	47699999	1
chr2	47700000	47799999	1
chr2	47800000	47899999	1
chr2	48300000	48399999	1
chr2	48400000	48499999	2
chr2	48600000	48699999	1
chr2	48700000	48799999	1
chr2	48900000	48999999	1
chr2	49000000	49099999	1
chr2	49300000	49399999	1
chr2	49500000	49599999	2
chr2	49600000	49699999	1
chr2	49800000	49899999	1
chr2	49900000	49999999	1
chr2	50000000	50099999	1
chr2	50200000	50299999	1
chr2	50500000	50599999	2
chr2	50700000	50799999	1
chr2	50900000	50999999	1
chr2	51200000	51299999	1
chr2	51300000	51399999	1
chr2	51700000	51799999	2
chr2	51900000	51999999	3
chr2	52400000	52499999	2
chr2	52700000	52799999	3
chr2	52900000	52999999	1
chr3	0	99999	1
chr3	400000	499999	1
chr3	800000	899999	1
chr3	1000000	1099999	1
chr3	1100000	1199999	2
chr3	1200000	1299999	1
chr3	1500000	1599999	1
chr3	1700000	1799999	1
chr3	1800000	1899999	1
chr3	2000000	2099999	2
chr3	2100000	2199999	4
chr3	2300000	2399999	1
chr3	2400000	2499999	1
chr3	2500000	2599999	2
chr3	3000000	3099999	1
chr3	3300000	3399999	1
chr3	3500000	3599999	1
chr3	3600000	3699999	1
chr3	3700000	3799999	2
chr3	3800000	3899999	1
chr3	3900000	3999999	1
chr3	4000000	4099999	2
chr3	4100000	4199999	1
chr3	4200000	4299999	2
chr3	4300000	4399999	2
chr3	4500000	4599999	1
chr3	4600000	4699999	2
chr3	4700000	4799999	1
chr3	4800000	4899999	1
chr3	4900000	4999999	1
chr3	5000000	5099999	1
chr3	5500000	5599999	2
chr3	5600000	5699999	6
chr3	5800000	5899999	1
chr3	5900000	5999999	3
chr3	6300000	6399999	1
chr3	6500000	6599999	1
chr3	6600000	6699999	4
chr3	6700000	6799999	1
chr3	7100000	7199999	1
chr3	7200000	7299999	2
chr3	7300000	7399999	1
chr3	7400000	7499999	3
chr3	7500000	7599999	1
chr3	7600000	7699999	2
chr3	7700000	7799999	2
chr3	7800000	7899999	3
chr3	7900000	7999999	2
chr3	8000000	8099999	1
chr3	8100000	8199999	2
chr3	8200000	8299999	1
chr3	8900000	8999999	2
chr3	9000000	9099999	1
chr3	9100000	9199999	3
chr3	9200000	9299999	1
chr3	9400000	9499999	2
chr3	9500000	9599999	2
chr3	9600000	9699999	1
chr3	9700000	9799999	2
chr3	9800000	9899999	1
chr3	10200000	10299999	2
chr3	10400000	10499999	1
chr3	10500000	10599999	3
chr3	10600000	10699999	1
chr3	10800000	10899999	1
chr3	10900000	10999999	1
chr3	11100000	11199999	1
chr3	11200000	11299999	2
chr3	11400000	11499999	1
chr3	11600000	11699999	1
chr3	11700000	11799999	1
chr3	11800000	11899999	2
chr3	12000000	12099999	1
chr3	12200000	12299999	1
chr3	12300000	12399999	1
chr3	12500000	12599999	1
chr3	12700000	12799999	2
chr3	12900000	12999999	1
chr3	13100000	13199999	1
chr3	13200000	13299999	1
chr3	13300000	13399999	1
chr3	13400000	13499999	1
chr3	13600000	13699999	1
chr3	13700000	13799999	2
chr3	13800000	13899999	1
chr3	13900000	13999999	4
chr3	14100000	14199999	1
chr3	14400000	14499999	2
chr3	14500000	14599999	1
chr3	14900000	14999999	1
chr3	15000000	15099999	2
chr3	15200000	15299999	1
chr3	15300000	15399999	1
chr3	15600000	15699999	1
chr3	15700000	15799999	1
chr3	15800000	15899999	2
chr3	16100000	16199999	3
chr3	16200000	16299999	1
chr3	16400000	16499999	2
chr3	16800000	16899999	1
chr3	17300000	17399999	1
chr3	17500000	17599999	2
chr3	17600000	17699999	1
chr3	17800000	17899999	1
chr3	17900000	17999999	1
chr3	18200000	18299999	2
chr3	18400000	18499999	2
chr3	18700000	18799999	1
chr3	18800000	18899999	2
chr3	19100000	19199999	2
chr3	19400000	19499999	1
chr3	19600000	19699999	4
chr3	20000000	20099999	1
chr3	20200000	20299999	1
chr3	20300000	20399999	1
chr3	20400000	20499999	2
chr3	20800000	20899999	2
chr3	20900000	20999999	4
chr3	21100000	21199999	2
chr3	21300000	21399999	1
chr3	21700000	21799999	1
chr3	21900000	21999999	1
chr3	22300000	22399999	1
chr3	22500000	22599999	1
chr3	22700000	22799999	1
chr3	22800000	22899999	2
chr3	22900000	22999999	2
chr3	23300000	23399999	1
chr3	23400000	23499999	1
chr3	23500000	23599999	2
chr3	23600000	23699999	1
chr3	23700000	23799999	1
chr3	23800000	23899999	1
chr3	24100000	24199999	2
chr3	24200000	24299999	2
chr3	24400000	24499999	1
chr3	24600000	24699999	1
chr3	24800000	24899999	1
chr3	24900000	24999999	1
chr3	25000000	25099999	2
chr3	25400000	25499999	1
chr3	26000000	26099999	1
chr3	26300000	26399999	2
chr3	26400000	26499999	2
chr3	26700000	26799999	1
chr3	27000000	27099999	1
chr3	27500000	27599999	2
chr3	27600000	27699999	2
chr3	27800000	27899999	1
chr3	28000000	28099999	2
chr3	28600000	28699999	2
chr3	28700000	28799999	1
chr3	28900000	28999999	1
chr3	29200000	29299999	1
chr3	29400000	29499999	4
chr3	29500000	29599999	3
chr3	29600000	29699999	1
chr3	29700000	29799999	1
chr3	30300000	30399999	2
chr3	30400000	30499999	2
chr4	700000	799999	1
chr4	900000	999999	1
chr4	1000000	1099999	3
chr4	1200000	1299999	1
chr4	1400000	1499999	1
chr4	1700000	1799999	1
chr4	2000000	2099999	1
chr4	2100000	2199999	1
chr4	2200000	2299999	2
chr4	2400000	2499999	1
chr4	2800000	2899999	2
chr4	3200000	3299999	1
chr4	3300000	3399999	1
chr4	3700000	3799999	1
chr4	3900000	3999999	1
chr4	4500000	4599999	1
chr4	4900000	4999999	1
chr4	5000000	5099999	1
chr4	5100000	5199999	2
chr4	5200000	5299999	1
chr4	5300000	5399999	1
chr4	5400000	5499999	1
chr4	5700000	5799999	2
chr4	5800000	5899999	2
chr4	6000000	6099999	2
chr4	6100000	6199999	1
chr4	6200000	6299999	4
chr4	6400000	6499999	1
chr4	6700000	6799999	1
chr4	6900000	6999999	2
chr4	7000000	7099999	1
chr4	7200000	7299999	1
chr4	7300000	7399999	1
chr4	7400000	7499999	2
chr4	7500000	7599999	1
chr4	7600000	7699999	1
chr4	7700000	7799999	1
chr4	7900000	7999999	2
chr4	8000000	8099999	1
chr4	8100000	8199999	1
chr4	8200000	8299999	1
chr4	8300000	8399999	3
chr4	8400000	8499999	2
chr4	8500000	8599999	1
chr4	8600000	8699999	2
chr4	8700000	8799999	1
chr4	8800000	8899999	4
chr4	9100000	9199999	1
chr4	9200000	9299999	2
chr4	9300000	9399999	1
chr4	9500000	9599999	1
chr4	9800000	9899999	1
chr4	10000000	10099999	1
chr4	10100000	10199999	1
chr4	10200000	10299999	1
chr4	10300000	10399999	1
chr4	10400000	10499999	1
chr4	10500000	10599999	1
chr4	10600000	10699999	1
chr4	10700000	10799999	1
chr4	10800000	10899999	1
chr4	10900000	10999999	2
chr4	11000000	11099999	1
chr4	11100000	11199999	1
chr4	11200000	11299999	2
chr4	11300000	11399999	1
chr4	11500000	11599999	1
chr4	11700000	11799999	1
chr4	11800000	11899999	3
chr4	12000000	12099999	3
chr4	12100000	12199999	2
chr4	12200000	12299999	2
chr4	12300000	12399999	1
chr4	12400000	12499999	3
chr4	12500000	12599999	1
chr4	12600000	12699999	1
chr4	12700000	12799999	2
chr4	12800000	12899999	1
chr4	12900000	12999999	1
chr4	13000000	13099999	2
chr4	13700000	13799999	1
chr4	13900000	13999999	1
chr4	14000000	14099999	1
chr4	14200000	14299999	1
chr4	14300000	14399999	1
chr4	14400000	14499999	1
chr4	14700000	14799999	1
chr4	14800000	14899999	1
chr4	15000000	15099999	1
chr4	15300000	15399999	1
chr4	15600000	15699999	1
chr4	15900000	15999999	3
chr4	16100000	16199999	1
chr4	16300000	16399999	1
chr4	16500000	16599999	1
chr4	16700000	16799999	1
chr4	16800000	16899999	1
chr4	17200000	17299999	2
chr4	17300000	17399999	1
chr4	17400000	17499999	2
chr4	17600000	17699999	1
chr4	17700000	17799999	1
chr4	17900000	17999999	1
chr4	18300000	18399999	5
chr4	18700000	18799999	2
chr4	18800000	18899999	1
chr4	18900000	18999999	1
chr4	19400000	19499999	1
chr4	19500000	19599999	2
chr4	20000000	20099999	2
chr4	20100000	20199999	1
chr4	20200000	20299999	1
chr4	20300000	20399999	4
chr4	20500000	20599999	1
chr4	20700000	20799999	1
chr4	20800000	20899999	1
chr4	21200000	21299999	1
chr4	21300000	21399999	1
chr4	21400000	21499999	1
chr4	21500000	21599999	1
chr4	21600000	21699999	2
chr4	21800000	21899999	2
chr4	22400000	22499999	2
chr4	22600000	22699999	1
chr4	22800000	22899999	1
chr4	23100000	23199999	1
chr4	23200000	23299999	1
chr4	23400000	23499999	2
chr4	23700000	23799999	1
chr4	23800000	23899999	1
chr4	24000000	24099999	1
chr4	24100000	24199999	2
chr4	24300000	24399999	1
chr4	24600000	24699999	1
chr4	24700000	24799999	1
chr4	25000000	25099999	1
chr4	25100000	25199999	1
chr4	25400000	25499999	1
chr4	26000000	26099999	2
chr4	26200000	26299999	1
chr4	26300000	26399999	3
chr4	26400000	26499999	1
chr4	26700000	26799999	1
chr4	26800000	26899999	1
chr4	27000000	27099999	2
chr4	27100000	27199999	1
chr4	27200000	27299999	2
chr4	27300000	27399999	3
chr4	27600000	27699999	4
chr4	27700000	27799999	1
chr4	27800000	27899999	2
chr4	28500000	28599999	1
chr4	28600000	28699999	1
chr4	28700000	28799999	1
chr4	28900000	28999999	2
chr4	29000000	29099999	1
chr4	29100000	29199999	1
chr4	29200000	29299999	1
chr5	100000	199999	1
chr5	200000	299999	1
chr5	300000	399999	1
chr5	400000	499999	2
chr5	500000	599999	1
chr5	700000	799999	1
chr5	800000	899999	2
chr5	900000	999999	2
chr5	1200000	1299999	1
chr5	1300000	1399999	1
chr5	1400000	1499999	1
chr5	1500000	1599999	2
chr5	1600000	1699999	1
chr5	1800000	1899999	2
chr5	1900000	1999999	2
chr5	2100000	2199999	1
chr5	2400000	2499999	2
chr5	2600000	2699999	2
chr5	2700000	2799999	1
chr5	2800000	2899999	2
chr5	3600000	3699999	1
chr5	3700000	3799999	1
chr5	3900000	3999999	1
chr5	4000000	4099999	1
chr5	4200000	4299999	1
chr5	4500000	4599999	1
chr5	4700000	4799999	3
chr5	5100000	5199999	1
chr5	5600000	5699999	1
chr5	5700000	5799999	1
chr5	5900000	5999999	1
chr5	6100000	6199999	1
chr5	6200000	6299999	1
chr5	6400000	6499999	1
chr5	6600000	6699999	1
chr5	6800000	6899999	1
chr5	6900000	6999999	1
chr5	7000000	7099999	1
chr5	7300000	7399999	4
chr5	7600000	7699999	1
chr5	7800000	7899999	2
chr5	7900000	7999999	1
chr5	8000000	8099999	1
chr5	8100000	8199999	1
chr5	8300000	8399999	1
chr5	8500000	8599999	2
chr5	8600000	8699999	1
chr5	8700000	8799999	2
chr5	9400000	9499999	1
chr5	9500000	9599999	2
chr5	9800000	9899999	1
chr5	10000000	10099999	1
chr5	10100000	10199999	1
chr5	10200000	10299999	1
chr5	10700000	10799999	1
chr5	11000000	11099999	1
chr5	11100000	11199999	4
chr5	11200000	11299999	1
chr5	11300000	11399999	1
chr5	11400000	11499999	1
chr5	11500000	11599999	1
chr5	11600000	11699999	1
chr5	11800000	11899999	2
chr5	11900000	11999999	1
chr5	12200000	12299999	1
chr5	12600000	12699999	1
chr5	12700000	12799999	2
chr5	13200000	13299999	1
chr5	13500000	13599999	1
chr5	13600000	13699999	1
chr5	13800000	13899999	1
chr5	13900000	13999999	1
chr5	14000000	14099999	2
chr5	14300000	14399999	1
chr5	14400000	14499999	1
chr5	14500000	14599999	1
chr5	14600000	14699999	1
chr5	14700000	14799999	1
chr5	14800000	14899999	3
chr5	14900000	14999999	1
chr5	15000000	15099999	1
chr5	15200000	15299999	1
chr5	15300000	15399999	4
chr5	15400000	15499999	2
chr5	15600000	15699999	1
chr5	16000000	16099999	2
chr5	16200000	16299999	1
chr5	16400000	16499999	1
chr5	16500000	16599999	1
chr5	17100000	17199999	3
chr5	17200000	17299999	1
chr5	17300000	17399999	1
chr5	17600000	17699999	1
chr5	17800000	17899999	2
chr5	18000000	18099999	1
chr5	18100000	18199999	1
chr5	18200000	18299999	1
chr5	18300000	18399999	1
chr5	18400000	18499999	2
chr5	18600000	18699999	1
chr5	18700000	18799999	1
chr5	18800000	18899999	1
chr5	19000000	19099999	4
chr5	19300000	19399999	1
chr5	19400000	19499999	2
chr5	19500000	19599999	1
chr5	19900000	19999999	2
chr5	20100000	20199999	1
chr5	20300000	20399999	1
chr5	20600000	20699999	1
chr5	21200000	21299999	1
chr5	21600000	21699999	1
chr5	21700000	21799999	3
chr5	22000000	22099999	1
chr5	22400000	22499999	1
chr5	22900000	22999999	5
chr5	23200000	23299999	1
chr5	23400000	23499999	2
chr5	23700000	23799999	1
chr5	24200000	24299999	1
chr5	24300000	24399999	1
chr5	24600000	24699999	2
chr5	24700000	24799999	2
chr5	25000000	25099999	2
chr5	25100000	25199999	1
chr5	25800000	25899999	2
chr5	25900000	25999999	4
chr5	26000000	26099999	1
chr5	26100000	26199999	1
chr5	26600000	26699999	1
chr5	26800000	26899999	2
chr5	26900000	26999999	1
chr5	27000000	27099999	1
chr5	27100000	27199999	3
chr5	27300000	27399999	2
chr5	27400000	27499999	1
chr5	28300000	28399999	1
chr5	28600000	28699999	1
chr5	28700000	28799999	1
chr5	28800000	28899999	1
chr5	29100000	29199999	1
chr5	29600000	29699999	1
chr5	29700000	29799999	3
chr5	29800000	29899999	1
chr5	29900000	29999999	1
chr5	30000000	30099999	1
chr5	30100000	30199999	2
chr5	30500000	30599999	1
chr5	30600000	30699999	2
chr5	30800000	30899999	1
chr5	30900000	30999999	2
chr5	31100000	31199999	1
chr5	31200000	31299999	1
chr5	31300000	31399999	2
chr5	31400000	31499999	1
chr5	31600000	31699999	3
chr5	31800000	31899999	1
chr5	32000000	32099999	1
chr5	32100000	32199999	1
chr5	32300000	32399999	2
chr5	32600000	32699999	1
chr5	32800000	32899999	1
chr5	32900000	32999999	1
chr5	33100000	33199999	1
chr5	33400000	33499999	1
chr5	34000000	34099999	1
chr5	34300000	34399999	1
chr5	34500000	34599999	2
chr5	34900000	34999999	2
chr5	35100000	35199999	2
chr5	35300000	35399999	1
chr5	35600000	35699999	1
chr5	35700000	35799999	1
chr5	35900000	35999999	1
chr5	36000000	36099999	1
chr5	36100000	36199999	2
chr5	36200000	36299999	1
chr5	36400000	36499999	1
chr5	36500000	36599999	1
chr5	36900000	36999999	1
chr5	37000000	37099999	1
chr5	37300000	37399999	2
chr5	37700000	37799999	2
chr5	37800000	37899999	2
chr5	38000000	38099999	2
chr5	38300000	38399999	1
chr5	38400000	38499999	1
chr5	38500000	38599999	2
chr5	38600000	38699999	1
chr5	38700000	38799999	1
chr5	38800000	38899999	1
chr5	38900000	38999999	2
chr5	39000000	39099999	1
chr5	39100000	39199999	1
chr5	39200000	39299999	1
chr5	39400000	39499999	1
chr5	39500000	39599999	2
chr5	39800000	39899999	1
chr5	39900000	39999999	1
chr5	40300000	40399999	2
chr5	40400000	40499999	1
chr5	40600000	40699999	1
chr5	40700000	40799999	1
chr5	41100000	41199999	1
chr5	41300000	41399999	1
chr5	41500000	41599999	1
chr5	41800000	41899999	1
chr5	42000000	42099999	1
chr5	42100000	42199999	3
chr5	42300000	42399999	1
chr5	42400000	42499999	2
chr5	42500000	42599999	1
chr5	42600000	42699999	1
chr5	42700000	42799999	2
chr5	42800000	42899999	2
chr5	43100000	43199999	1
chr5	43200000	43299999	1
chr5	43300000	43399999	1
chr5	43500000	43599999	2
chr5	43900000	43999999	2
chr5	44300000	44399999	2
chr5	44400000	44499999	3
chr5	44500000	44599999	1
chr5	44600000	44699999	1
chr5	44700000	44799999	1
chr5	44800000	44899999	2
chr5	45100000	45199999	3
chr5	45300000	45399999	1
chr5	45700000	45799999	1
chr5	46000000	46099999	1
chr5	46100000	46199999	1
chr5	46300000	46399999	1
chr5	46600000	46699999	1
chr5	46800000	46899999	1
