ID	CK-1	CK-2	CK-3	Cd-1	Cd-2	Cd-3	Na2-1	Na2-2	Na2-3	Se2-1	Se2-2	Se2-3
Arcobacter	4	6	8	0	0	0	1	0	1	0	0	0
Arenicella	1	1	0	0	0	0	0	0	0	0	0	0
Arenimonas	49	41	35	0	0	0	3	3	2	0	0	0
Arthrobacter	13	9	10	0	0	0	2	0	1	0	1	0
Asinibacterium	0	0	1	0	0	0	0	0	0	1	0	0
Asticcacaulis	1	1	1	0	0	0	0	0	1	0	0	0
Azoarcus	17	11	19	0	0	0	1	6	2	0	1	0
Azospira	121	146	86	0	0	0	7	5	9	2	0	1
Azospirillum	3	2	1	0	0	0	0	0	2	2	0	2
B48	4	8	6	0	0	0	3	0	0	0	0	0
BD1-7 clade	0	0	0	0	0	0	1	0	0	0	0	0
Bacillus	10	10	6	0	0	0	6	16	9	2	1	6
Bacteriovorax	1	0	2	0	0	0	0	0	0	0	0	1
Bacteroides	0	0	0	0	0	0	2	0	1	0	0	0
Bdellovibrio	46	49	43	0	0	0	1	1	7	3	1	2
Belliella	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium	1	2	0	0	0	0	0	0	0	0	0	0
Blastococcus	0	6	2	0	0	0	0	0	0	1	0	1
Blastomonas	1	2	0	0	1	4	0	0	1	0	0	0
Blautia	2	2	0	0	0	0	0	0	0	1	0	3
Bosea	0	3	2	0	0	0	0	5	4	1	4	0
Brachybacterium	2	6	4	0	0	0	0	3	0	4	2	2
Bradyrhizobium	24	27	24	1	0	4	5	22	14	5	3	0
Brevibacillus	0	0	0	0	0	0	0	3	1	0	0	0
Brevibacterium	1	1	4	0	0	0	2	0	3	1	1	1
Brevundimonas	17	16	3	0	0	1	11	10	7	3	7	3
Bryobacter	7	6	6	0	0	0	1	0	0	0	0	0
Bryocella	1	3	1	0	0	0	0	0	0	0	0	0
Burkholderia-Caballeronia-Paraburkholderia	488	455	329	0	0	0	26	15	23	5	5	11
CHKCI001	0	1	0	0	0	0	1	1	0	0	0	0
CK06-06-Mud-MAS4B-21	257	334	207	0	0	0	10	13	13	6	3	12
CL500-29 marine group	41	53	36	0	0	0	1	2	5	3	0	0
Caedibacter	1	0	0	0	0	0	0	0	0	0	0	0
Campylobacter	0	0	0	0	0	0	3	0	1	0	0	0
Candidatus Accumulibacter	1	3	1	0	0	0	0	0	0	0	0	0
Candidatus Alysiosphaera	1	2	0	0	0	0	0	0	0	0	0	0
Candidatus Aquirestis	300	292	277	0	0	0	6	16	24	3	1	6
Candidatus Berkiella	8	13	16	0	0	0	2	0	0	0	0	0
Candidatus Hemipteriphilus	13	7	10	0	0	0	0	1	0	0	0	1
Candidatus Jidaibacter	0	1	0	0	0	0	0	0	0	0	0	0
Candidatus Koribacter	10	12	12	0	0	0	0	0	0	0	0	0
Candidatus Megaira	4	4	5	0	0	0	0	0	0	0	0	0
Candidatus Protochlamydia	0	3	0	0	0	0	0	0	0	0	0	0
Candidatus Rhabdochlamydia	2	1	0	0	0	0	0	0	0	0	0	0
Candidatus Solibacter	29	20	17	0	0	0	1	0	1	0	0	2
Catenulispora	1	2	0	0	0	0	1	0	0	0	0	0
Caulobacter	22	24	15	1	0	0	10	25	25	8	16	3
Cellulomonas	2	1	2	0	0	0	0	0	0	0	0	0
Cellulosimicrobium	1	0	4	0	0	0	0	0	0	0	0	0
Cellvibrio	3	0	0	0	0	0	0	0	0	0	0	0
Cetobacterium	5	6	6	0	0	0	0	0	0	0	0	0
Chelativorans	67	41	134	160	202	282	174	305	246	304	270	339
Chitinibacter	6	11	8	0	0	0	0	0	0	0	0	0
Chitinophaga	1	1	0	0	0	0	0	0	0	0	0	1
Chryseobacterium	5	4	9	1	0	0	2	2	1	2	2	4
Chryseolinea	0	2	1	0	0	0	0	4	0	0	0	0
Chujaibacter	6	3	0	0	0	0	1	0	1	0	0	0
Citreicella	0	0	0	0	0	0	1	0	0	0	0	0
Cloacibacterium	2	1	0	0	1	2	0	0	0	1	0	0
Clostridium sensu stricto 1	0	0	0	0	0	0	0	5	2	0	0	0
Clostridium sensu stricto 2	3	2	4	0	0	0	0	0	0	0	0	0
Clostridium sensu stricto 5	0	0	0	0	0	0	0	2	0	0	0	0
Collimonas	56	83	56	0	0	0	8	15	9	0	1	4
Comamonas	38	31	20	0	0	0	1	1	2	0	0	2
Conexibacter	2	3	0	0	0	0	1	0	0	0	0	0
Corynebacterium	0	0	0	0	0	0	1	3	0	0	0	1
Corynebacterium 1	32	29	37	2	0	1	19	20	22	10	27	14
Coxiella	3	1	0	0	0	0	0	0	0	0	0	0
Craurococcus	0	0	0	0	0	0	0	0	0	0	1	0
Crenobacter	8	9	6	0	0	0	1	0	0	0	0	0
Cryomorpha	3	4	3	0	0	0	0	0	0	0	0	0
Cutibacterium	18	11	15	0	0	1	9	23	18	2	7	7
Cytophaga	3	3	0	0	0	0	0	0	1	0	0	0
DSSF69	0	0	0	0	0	0	0	0	0	0	0	1
Deinococcus	1	2	1	0	0	0	1	0	1	1	0	0
Delftia	10	7	3	1	0	1	3	7	6	0	3	3
Denitratisoma	1	2	1	0	0	0	1	0	0	0	0	0
Desulfocapsa	2	0	0	0	0	0	0	0	0	0	0	0
Desulfomicrobium	1	0	1	0	0	0	0	0	0	0	0	0
Desulfuromonas	1	0	8	0	0	0	0	4	1	1	3	0
Devosia	14	20	8	0	0	0	0	14	2	0	0	2
Dietzia	0	0	0	0	0	0	0	0	0	0	0	1
Dinghuibacter	50	70	66	0	0	0	3	9	4	6	0	5
Dongia	2	3	2	0	0	0	0	0	0	0	0	0
Dorea	0	0	0	0	0	0	0	0	0	1	0	1
Duganella	73	76	49	0	0	0	4	0	5	3	0	4
Dyella	9	4	2	0	0	0	0	0	1	0	0	0
Edaphobacter	16	17	11	0	0	0	1	0	0	0	0	0
Egicoccus	0	1	0	0	0	0	0	0	1	0	1	2
Ekhidna	1	0	0	0	0	0	0	0	0	0	0	0
Ellin6067	10	10	6	0	0	0	1	1	0	0	0	0
Enterobacter	1	0	0	0	0	0	0	3	1	0	0	0
Erythrobacter	0	4	3	0	0	0	0	0	0	0	0	0
Escherichia-Shigella	37	43	23	1	0	2	3	14	5	7	0	9
Exiguobacterium	0	0	0	0	0	0	0	1	0	0	0	0
F0332	0	0	0	0	0	0	1	0	0	0	0	0
Family XIII AD3011 group	2	0	2	0	0	0	0	0	0	0	0	0
Ferruginibacter	2	2	3	0	0	0	0	0	0	0	0	0
Fibrobacter	0	0	2	0	0	0	0	0	0	0	0	0
Filomicrobium	1	0	0	0	0	0	0	0	0	0	0	0
Finegoldia	3	0	0	0	0	0	0	0	0	1	0	0
Flavisolibacter	7	5	4	0	0	0	0	0	0	0	0	0
Flavobacterium	101	94	86	0	0	0	5	2	2	8	0	4
Fluviicola	12	10	16	0	0	0	0	4	2	0	0	1
Fodinicola	7	10	5	0	0	0	0	0	0	0	0	0
Fontibacter	31	28	20	0	0	0	1	1	1	0	0	0
Francisella	0	2	0	0	0	0	0	0	0	0	0	0
Friedmanniella	0	0	0	0	0	0	1	0	0	0	0	0
Fulvivirga	4	1	2	0	0	0	0	0	0	0	0	0
Fusobacterium	0	2	0	0	0	0	2	0	0	0	0	0
Gaiella	0	3	0	0	0	0	0	0	0	1	1	2
Gemella	0	0	0	0	0	0	1	0	1	0	0	0
Gemmatimonas	0	0	3	0	0	0	0	4	0	0	0	0
Gemmobacter	13	22	11	0	0	0	1	0	3	0	0	0
Geoalkalibacter	2	0	1	0	0	0	0	0	0	0	0	0
Geobacter	1	2	1	0	0	0	0	0	2	0	0	0
Gillisia	0	0	0	0	0	0	0	0	0	1	0	0
Gluconacetobacter	1	2	0	0	0	0	0	0	0	0	0	0
Glutamicibacter	66	37	93	12	8	12	15	54	32	48	18	69
Granulicella	2	3	0	0	0	0	1	0	1	0	0	1
Haematospirillum	2	2	2	0	0	0	0	0	0	0	0	0
Haemophilus	0	1	1	0	0	0	3	1	2	0	0	0
Hahella	6	1	2	0	0	0	0	0	0	0	0	1
Haliangium	8	6	4	0	0	0	0	0	0	0	0	0
Haliea	27	28	34	0	0	0	1	0	3	2	0	1
Halioglobus	275	237	199	0	0	0	11	17	12	8	6	5
Halobacteriovorax	1	1	1	0	0	0	0	0	0	0	0	0
Halomonas	2136	1269	3944	16281	15235	14072	14927	11926	13504	13352	13691	13044
Helicobacter	1	1	0	0	0	0	0	0	0	0	0	0
Herminiimonas	1	0	3	0	0	0	0	0	0	0	0	0
Holophaga	1	1	2	0	0	0	0	0	0	0	0	0
Hydrocarboniphaga	25	24	40	0	0	0	5	9	9	11	3	15
Hydrogenophaga	167	208	133	1	2	3	10	30	21	15	9	8
Hydrogenophilus	0	0	1	0	0	0	0	0	0	0	0	0
Hyphomicrobium	4	2	2	0	0	0	0	0	0	0	0	0
Hyphomonas	1	13	6	0	0	0	1	3	1	0	0	1
IMCC26207	0	2	0	0	0	0	0	0	0	0	0	1
IS-44	3	0	0	0	0	0	0	0	0	0	0	0
Iamia	1	2	1	0	0	0	0	0	0	0	0	0
Idiomarina	3	10	1	0	0	0	0	4	1	0	0	0
Ignatzschineria	0	0	0	0	0	0	0	0	1	0	0	0
Ilumatobacter	46	65	36	0	0	0	11	5	11	1	2	0
Inquilinus	3	2	1	0	0	0	0	0	0	0	0	0
Intestinibacter	1	1	1	0	0	0	0	7	5	0	0	0
JTB255 marine benthic group	7	5	9	0	0	0	0	0	0	0	0	0
Jannaschia	2	1	2	0	0	0	0	0	0	0	0	0
Jeongeupia	3	0	0	0	0	0	0	0	0	0	0	0
Jiangella	0	0	0	0	0	0	0	0	0	0	1	0
Kerstersia	70	79	51	1	1	0	2	12	7	4	0	6
Kocuria	1	2	2	0	0	0	0	1	0	0	1	1
LD29	0	2	0	0	0	0	0	0	0	0	0	0
Labrys	0	3	2	0	0	0	0	0	0	0	0	0
Lachnoclostridium	0	0	0	0	0	0	0	0	0	1	0	0
Lacibacter	0	2	0	0	0	0	0	0	0	1	0	2
Lactobacillus	9	5	8	0	0	0	4	3	4	0	3	0
Lautropia	0	0	0	0	0	0	0	1	0	0	0	0
Lawsonella	4	2	1	0	0	0	3	3	7	1	1	1
Legionella	2	4	3	0	0	0	0	0	0	0	0	0
Leifsonia	0	0	0	0	0	0	0	0	0	0	1	0
Leptotrichia	1	0	0	0	0	0	4	0	0	1	1	0
Lewinella	6	3	4	0	0	0	0	4	1	0	0	0
Limnobacter	41	4	2	0	0	0	1	8	0	0	0	1
Limnohabitans	24	22	19	0	0	0	1	1	2	3	3	2
Litoricola	23	14	12	0	0	0	0	1	1	0	0	2
Loktanella	277	280	267	0	0	0	7	25	16	5	2	11
Luteimonas	18	12	8	0	0	0	0	1	0	1	0	0
Lutimonas	1	0	0	0	0	0	2	0	0	0	0	0
Lysinibacillus	3	0	1	0	0	0	0	0	0	0	0	0
ML602J-51	92	110	80	0	0	0	2	8	6	4	0	0
MND1	17	11	17	0	0	0	1	2	1	2	1	1
MWH-UniP1 aquatic group	1620	1888	1327	0	0	0	66	107	77	37	15	39
Magnetospirillum	13	10	9	0	0	0	0	0	0	0	0	0
Maribius	15	18	8	0	0	0	0	0	0	0	0	0
Marinimicrobium	0	0	1	0	0	0	0	0	0	0	0	0
Marinobacter	1	0	1	0	0	0	0	0	0	0	0	0
Marinomonas	1	0	1	0	0	0	0	0	0	0	0	0
Marinoscillum	5	5	4	0	0	0	0	0	0	0	0	0
Marinosulfonomonas	3	0	0	0	0	0	0	0	0	0	0	0
Marivita	4	2	4	0	0	0	0	0	0	0	0	0
Marmoricola	2	2	0	0	0	0	0	0	0	0	0	0
Massilia	114	95	84	0	1	0	11	14	14	3	2	7
Membranicola	1	3	3	0	0	0	0	0	0	0	0	0
Mesorhizobium	3	5	4	2	3	4	4	12	12	3	3	7
Methylobacterium	14	17	24	1	1	0	18	45	29	5	6	6
Methylophilus	2	0	0	0	0	0	2	3	1	11	14	10
Methylorosula	1	0	0	0	0	0	0	0	0	0	0	0
Methylosinus	3	0	0	0	0	0	0	0	0	0	0	0
Methylotenera	1	0	0	0	0	0	0	0	0	0	0	0
Methyloversatilis	17	20	21	0	0	1	6	11	13	12	3	20
Microbacterium	10	0	8	0	0	0	0	16	7	3	8	4
Micrococcus	3	1	2	0	0	0	0	1	0	0	1	1
Modestobacter	1	1	3	0	0	0	0	0	0	0	0	0
Mucilaginibacter	248	274	207	0	0	0	14	14	7	46	55	38
Mycobacterium	6	6	10	0	1	0	0	4	0	0	3	1
NS10 marine group	2	0	1	0	0	0	0	0	0	0	0	0
Nannocystis	0	0	0	0	0	0	0	1	2	0	0	0
Neisseria	0	2	0	0	0	0	4	2	2	1	0	0
Nesterenkonia	63	22	124	81	47	86	84	156	101	46	59	43
Nevskia	6	9	10	0	0	0	0	0	1	0	0	2
Nitratireductor	0	1	0	0	0	0	0	0	0	0	0	0
Nitrospira	7	6	2	0	0	0	0	0	0	0	0	1
Nocardioides	38	23	87	0	0	0	2	17	11	7	2	17
Nocardiopsis	0	0	0	0	0	0	0	1	2	0	0	0
Nodosilinea PCC-7104	0	0	0	0	0	0	1	0	1	0	0	0
Nonlabens	1	1	0	0	0	0	0	2	0	0	0	0
Noviherbaspirillum	1	3	1	0	0	0	0	0	0	0	0	0
Novosphingobium	14	3	2	0	0	0	0	0	2	0	0	0
OLB12	16	11	7	0	0	0	0	4	5	0	0	1
OM27 clade	2	4	2	0	0	0	1	0	2	0	0	0
Occallatibacter	11	14	8	0	0	0	0	0	0	1	0	0
Oceanicaulis	2	0	2	0	0	0	0	0	0	0	0	0
Oceanospirillum	3	2	1	0	0	0	0	0	0	0	0	0
Ochrobactrum	2	2	3	2	0	3	8	6	3	53	75	41
Ornithinicoccus	3	2	9	0	0	0	4	10	5	0	1	0
Ornithinimicrobium	1	0	1	0	0	0	0	0	0	0	0	0
Owenweeksia	1	1	0	0	0	0	0	0	0	0	0	0
PAUC26f	0	0	2	0	0	0	0	0	0	0	0	0
Paenibacillus	0	0	0	0	0	0	0	0	0	1	2	0
Pajaroellobacter	5	7	12	0	0	0	0	1	1	0	0	0
Paludibaculum	0	0	2	0	0	0	0	0	0	0	0	0
Pandoraea	6	19	3	0	0	0	0	0	0	0	0	0
Pannonibacter	1	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	7	4	7	0	0	0	2	0	0	0	0	0
Parapusillimonas	1	1	0	0	0	0	0	0	0	0	0	0
Parasutterella	0	1	0	0	0	0	0	0	0	0	0	0
Parvularcula	0	2	0	0	0	0	0	0	0	0	0	0
Patulibacter	2	1	8	0	0	0	0	2	0	0	0	1
Pedobacter	3	3	4	0	0	0	0	0	0	0	0	0
Pedomicrobium	0	0	0	0	0	0	0	1	0	0	0	0
Pelagibacterium	545	253	1264	1359	2345	3305	1541	3286	2345	3167	3044	3391
Pelagibius	0	0	2	0	0	0	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	0	0	2	0	0	0	0
Peredibacter	128	120	110	0	0	0	3	7	8	4	2	4
Phaeodactylibacter	186	167	131	0	0	0	5	2	6	4	5	3
Phaselicystis	4	4	2	0	0	0	0	0	0	0	0	0
Phenylobacterium	6	3	0	0	0	0	0	0	0	0	0	0
Phreatobacter	0	0	0	1	0	0	0	0	0	0	0	0
Phyllobacterium	1	1	7	0	0	0	6	12	6	1	0	2
Planococcus	1	1	1	0	0	0	0	3	0	0	0	0
Polaribacter 1	188	175	165	0	0	0	8	11	8	7	4	6
Polyangium	2	2	1	0	0	0	0	0	1	0	0	0
Polycyclovorans	1	2	2	0	0	0	0	0	0	0	0	0
Polymorphobacter	8	13	10	0	0	0	0	5	4	0	0	0
Polynucleobacter	23	29	17	0	0	0	0	1	0	0	0	0
Pontibacter	2	0	0	0	0	0	0	0	0	0	0	0
Porphyrobacter	32	35	22	0	0	0	1	6	4	0	3	0
Portibacter	3	4	1	0	0	0	0	0	0	0	0	0
Prevotella 2	0	0	0	0	0	0	0	0	0	4	0	6
Propionivibrio	1	1	1	0	0	0	0	0	0	0	0	0
Proteocatella	3	1	0	0	0	0	0	0	0	0	0	0
Proteus	11	19	8	0	0	0	1	0	0	0	0	1
Providencia	1	3	6	0	0	0	0	1	0	0	0	0
Pseudaminobacter	0	0	0	0	0	0	0	0	0	0	1	0
Pseudenhygromyxa	8	3	5	0	0	0	2	0	0	0	0	0
Pseudoalteromonas	7	4	4	0	0	0	0	0	0	0	0	0
Pseudohongiella	51	43	54	0	0	0	0	1	0	1	0	0
Pseudomonas	46	42	40	1	1	0	2	21	14	20	36	19
Pseudonocardia	0	1	0	0	0	0	0	0	0	0	0	0
Pseudophaeobacter	10	9	5	0	0	0	0	0	0	0	0	0
Pseudorhodobacter	40	43	37	0	0	0	1	0	0	0	0	0
Psychrobacter	2	3	0	0	0	0	0	0	0	0	0	0
Ralstonia	11	0	0	0	0	0	0	0	1	4	0	0
Ramlibacter	2	0	0	0	0	0	0	0	0	0	0	0
Reyranella	6	9	4	0	0	0	0	4	3	2	0	1
Rheinheimera	42	39	14	0	0	0	3	7	2	1	1	0
Rhizobacter	2	0	1	1	0	0	0	1	0	1	0	2
Rhizocola	0	1	0	0	0	0	0	0	0	0	0	0
Rhodanobacter	74	84	36	0	0	0	5	7	5	2	0	3
Rhodobacter	91	136	68	0	0	0	7	24	15	4	1	3
Rhodococcus	50	56	73	0	0	1	18	28	14	24	18	18
Rhodoferax	88	97	86	0	7	5	12	40	25	17	17	20
Rhodopseudomonas	1	1	1	0	1	0	0	0	1	13	8	5
Rhodovarius	1	0	0	0	1	2	0	0	0	0	1	0
Rhodovastum	1	5	2	0	0	0	0	0	0	0	0	0
Rickettsia	0	0	2	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	1	2	2
Roseiarcus	10	8	11	0	0	0	0	0	0	0	0	0
Roseibacterium	553	556	403	0	0	0	22	36	24	11	4	11
Roseivirga	1	2	0	0	0	0	0	0	0	0	0	0
Roseobacter clade CHAB-I-5 lineage	7	2	3	0	0	0	0	0	0	0	0	0
Roseococcus	10	12	12	0	0	0	0	0	0	0	0	1
Roseomonas	18	16	9	0	0	0	0	3	2	1	0	0
Roseovarius	40	27	32	0	0	0	3	0	2	2	1	1
Rothia	1	1	1	0	0	0	1	0	1	0	1	1
Rubellimicrobium	15	21	12	0	0	0	4	0	6	0	0	0
Rubribacterium	5	2	1	0	0	0	0	0	2	0	0	0
Rubrimonas	4	6	2	0	0	0	0	0	1	0	0	0
Ruegeria	1	2	4	0	0	0	0	0	0	0	0	0
Ruminiclostridium 6	0	0	0	0	0	0	0	1	4	0	0	0
Ruminococcaceae UCG-014	1	0	0	0	0	0	0	0	0	0	0	0
Ruminococcus 1	1	2	0	0	0	0	0	0	0	0	0	0
Ruminococcus 2	2	2	1	0	0	0	0	0	0	1	0	0
SCGC AAA164-E04	59	43	46	0	0	0	6	2	4	0	0	3
SM1A02	7	8	4	0	0	0	0	0	0	0	0	0
SWB02	2	0	5	0	0	0	0	0	0	0	0	0
Salinihabitans	2	2	3	0	0	0	1	0	0	0	0	0
Salinirepens	2	1	0	0	0	0	0	0	0	0	1	0
Sandaracinus	4	3	4	0	0	0	0	4	3	0	0	0
Saprospira	1	0	3	0	0	0	0	0	0	0	0	0
Sedimentibacter	0	0	0	0	0	0	0	2	1	0	0	0
Sediminibacterium	2	1	4	0	0	2	2	13	7	2	1	1
Sellimonas	0	0	0	0	0	0	1	0	1	3	0	1
Seohaeicola	0	1	1	0	0	0	0	0	0	0	0	0
Serratia	0	0	1	0	2	0	0	3	5	0	0	0
Shewanella	11	9	2	0	0	0	0	0	1	0	0	0
Shinella	1	1	4	0	0	0	1	1	0	0	0	1
Silanimonas	12	5	2	0	0	0	1	0	0	0	1	0
Silvanigrella	0	3	0	0	0	0	0	0	0	0	0	0
Silvimonas	67	85	56	0	0	0	3	2	0	0	0	2
Skermanella	5	3	6	0	0	0	2	0	2	0	0	0
Soortia	1	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	6	5	10	0	0	0	0	3	1	0	0	0
Sphingobium	7	2	7	0	2	2	1	16	4	5	3	0
Sphingomonas	98	80	86	0	2	2	119	288	222	39	27	19
Sphingopyxis	1	1	1	0	0	0	0	0	0	0	0	1
Sporosarcina	0	0	0	0	0	0	0	0	0	1	0	3
Stakelama	7	4	6	0	0	0	6	18	11	2	5	0
Staphylococcus	20	22	36	1	1	0	9	11	12	9	7	7
Stella	1	1	0	0	0	0	0	0	0	0	0	0
Stenotrophomonas	0	37	38	0	0	0	2	2	0	0	1	0
Steroidobacter	0	1	0	0	0	0	0	0	0	0	0	0
Streptacidiphilus	1	4	3	0	0	0	0	0	0	1	0	0
Streptococcus	6	7	11	0	0	2	31	11	18	6	8	2
Streptomyces	3	1	6	0	0	0	0	6	7	3	0	1
Subdoligranulum	0	2	0	0	0	0	1	1	1	0	0	0
Subgroup 10	8	6	6	0	0	0	0	0	0	0	0	0
Subgroup 23	0	2	0	0	0	0	0	0	0	0	0	0
Sulfurimonas	2	0	1	0	0	0	0	0	0	0	0	0
Sulfuritalea	9	10	6	0	0	0	0	0	0	0	0	2
Sutterella	0	0	0	0	0	0	0	0	0	0	0	2
Synechococcus CC9902	1	3	3	0	0	0	0	0	0	0	0	0
Telmatospirillum	10	13	11	0	0	0	0	0	1	0	0	1
Terriglobus	2	1	2	0	0	0	0	0	0	0	0	0
Terrimicrobium	3	3	1	0	0	0	0	0	0	0	0	0
Terrimonas	1	11	3	0	0	0	2	0	1	0	0	0
Thalassobaculum	33	41	27	0	0	0	2	0	2	0	0	0
Thauera	2	4	10	0	0	0	0	3	0	0	0	0
Thermomonas	21	25	10	0	0	0	1	8	4	0	0	1
Thermus	0	1	0	0	0	0	0	5	0	0	0	0
Thiobacillus	3	5	5	0	0	0	0	3	1	0	0	0
Tissierella	0	0	0	0	0	0	0	0	0	1	1	0
Trichococcus	1	0	0	0	0	0	0	0	0	0	0	1
Tropicimonas	19	30	6	0	0	0	0	3	1	0	0	0
Truepera	1	1	0	0	0	0	0	0	0	0	0	0
Tsukamurella	0	0	0	0	0	0	3	2	1	0	0	0
Turicibacter	0	0	0	0	0	0	1	0	0	0	0	1
Undibacterium	2	1	1	0	0	0	0	0	0	0	0	0
Verruc-01	0	0	0	0	0	0	0	0	0	0	0	1
Vibrio	59	68	66	0	0	0	3	0	0	2	0	1
Virgibacillus	1	0	4	0	0	0	0	0	0	0	0	1
Vogesella	3	10	0	0	0	0	1	0	0	0	0	1
Woeseia	2	1	2	0	0	0	2	0	1	0	0	0
Yersinia	53	84	34	0	0	0	18	27	24	13	14	18
Youhaiella	2	1	0	0	0	0	0	0	0	0	0	0
Youngiibacter	2	1	0	0	0	0	0	0	0	0	0	0
Zoogloea	11	7	13	0	0	0	2	28	27	5	0	8
[Desulfobacterium] catecholicum group	2	1	0	0	0	0	1	0	0	0	0	0
[Ruminococcus] torques group	3	3	1	0	0	0	0	1	2	1	0	0
hgcI clade	8	12	1	0	0	0	0	0	0	0	0	0
mle1-7	2	2	2	0	0	0	0	0	0	0	0	0
