# Constructed from biom file
#OTU ID	DS-RE-1	DS-RE-2	DS-RE-3	DS-RE-4	DS-RE-5	DS-RE-6	DS-RL-1	DS-RL-2	DS-RL-3	DS-RL-4	DS-RL-5	DS-RL-6	DS-RS-1	DS-RS-2	DS-RS-3	DS-RS-4	DS-RS-5	DS-RS-6	SB-RE-1	SB-RE-2	SB-RE-3	SB-RE-4	SB-RE-5	SB-RE-6	SB-RL-1	SB-RL-2	SB-RL-3	SB-RL-4	SB-RL-5	SB-RL-6	SB-RS-1	SB-RS-2	SB-RS-3	SB-RS-4	SB-RS-5	SB-RS-6	taxonomy
OTU16	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	43.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminiclostridium 5; s__uncultured bacterium
OTU17	2.0	0.0	0.0	8.0	3.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	6.0	31.0	1.0	17.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	8.0	0.0	0.0	1.0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteria; o__Gastranaerophilales; f__norank; g__norank
OTU18	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	1.0	2.0	0.0	0.0	1.0	2.0	4.0	4.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	2.0	1.0	5.0	1.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiraceae UCG-008; s__uncultured Lachnospiraceae bacterium
OTU19	2.0	4.0	1.0	3.0	1.0	0.0	33.0	2.0	0.0	26.0	21.0	1.0	31.0	64.0	0.0	11.0	5.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	2.0	15.0	0.0	63.0	0.0	1.0	4.0	71.0	0.0	63.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae UCG-001
OTU20	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	1.0	1.0	5.0	0.0	264.0	0.0	1.0	1.0	0.0	0.0	137.0	0.0	5.0	1.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella 1
OTU21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella; s__uncultured rumen bacterium
OTU22	0.0	3.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	0.0	13.0	5.0	1.0	4.0	1.0	0.0	9.0	1.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
OTU23	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	26.0	24.0	6.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	18.0	1.0	3.0	4.0	3.0	0.0	12.0	0.0	5.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminiclostridium 5; s__uncultured bacterium
OTU24	0.0	2.0	1.0	2.0	0.0	1.0	9.0	7.0	2.0	36.0	0.0	5.0	2.0	2.0	1.0	11.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	11.0	2.0	10.0	3.0	0.0	0.0	7.0	1.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae RC9 gut group; s__uncultured bacterium
OTU25	27.0	5.0	8.0	9.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	4.0	6.0	16.0	18.0	14.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes RF9; f__norank; g__norank; s__uncultured bacterium
OTU26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes RF9; f__norank; g__norank
OTU27	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	37.0	8.0	1.0	0.0	0.0	0.0	36.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales BS11 gut group; g__norank; s__uncultured rumen bacterium
OTU28	2.0	8.0	0.0	4.0	11.0	1.0	0.0	2.0	48.0	0.0	2.0	6.0	0.0	1.0	100.0	1.0	1.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	34.0	d__Bacteria; p__Saccharibacteria; c__Unknown Class; o__Unknown Order; f__Unknown Family; g__Candidatus Saccharimonas; s__uncultured rumen bacterium
OTU29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales vadinBB60 group; g__norank; s__uncultured bacterium
OTU30	0.0	2.0	0.0	1.0	4.0	0.0	0.0	4.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	3.0	9.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Marinilabiaceae; g__uncultured; s__uncultured rumen bacterium
OTU31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	6.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU32	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Rikenellaceae RC9 gut group; s__uncultured bacterium
OTU34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Lentisphaerae; c__WCHB1-25; o__norank; f__norank; g__norank; s__uncultured rumen bacterium
OTU35	3.0	4.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	9.0	2.0	0.0	2.0	2.0	0.0	17.0	5.0	4.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	24.0	19.0	0.0	0.0	8.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Eubacterium] ruminantium group
OTU36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Lentisphaerae; c__Lentisphaerae RFP12 gut group; o__norank; f__norank; g__norank
OTU37	8.0	3.0	1.0	2.0	0.0	2.0	271.0	34.0	48.0	609.0	24.0	374.0	157.0	16.0	81.0	155.0	14.0	182.0	8.0	4.0	3.0	4.0	0.0	2.0	44.0	5.0	11.0	26.0	69.0	77.0	71.0	33.0	11.0	22.0	33.0	28.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae R-7 group; s__uncultured bacterium
OTU38	12.0	2.0	3.0	2.0	2.0	6.0	1.0	3.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	7.0	7.0	4.0	6.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Enterobacter; s__unidentified marine bacterioplankton
OTU39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	1.0	10.0	0.0	0.0	2.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU40	4.0	4.0	0.0	5.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__uncultured; s__uncultured rumen bacterium
OTU41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__NB1-n; f__norank; g__norank; s__uncultured bacterium
OTU42	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Lentisphaerae; c__Lentisphaerae RFP12 gut group; o__norank; f__norank; g__norank; s__uncultured rumen bacterium
OTU43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	17.0	0.0	0.0	5.0	0.0	0.0	14.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__uncultured; s__uncultured rumen bacterium
OTU44	0.0	4.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales S24-7 group; g__norank
OTU45	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	6.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	1.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae
OTU46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotellaceae UCG-001; s__uncultured bacterium
OTU47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelotrichaceae UCG-004
OTU48	3.0	2.0	0.0	30.0	3.0	59.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
OTU49	2.0	0.0	0.0	0.0	0.0	0.0	2.0	19.0	0.0	6.0	14.0	5.0	8.0	10.0	3.0	10.0	27.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	7.0	9.0	3.0	1.0	6.0	8.0	12.0	4.0	2.0	3.0	8.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia
OTU50	0.0	0.0	1.0	0.0	0.0	0.0	7.0	3.0	1.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Lentisphaerae; c__Lentisphaerae RFP12 gut group; o__norank; f__norank; g__norank; s__uncultured rumen bacterium
OTU51	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	3.0	2.0	2.0	3.0	1.0	0.0	0.0	0.0	1.0	0.0	5.0	8.0	0.0	4.0	1.0	1.0	4.0	34.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	d__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Coriobacteriales; f__Coriobacteriaceae; g__Enterorhabdus; s__uncultured bacterium
OTU52	17.0	3.0	2.0	0.0	0.0	1.0	62.0	0.0	3.0	1.0	1.0	2.0	77.0	14.0	4.0	17.0	6.0	47.0	2.0	2.0	5.0	3.0	1.0	0.0	0.0	0.0	20.0	42.0	0.0	2.0	0.0	0.0	57.0	79.0	12.0	12.0	d__Bacteria; p__Spirochaetae; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema 2; s__uncultured rumen bacterium
OTU53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	1.0	6.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	1.0	0.0	0.0	d__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes RF9; f__norank; g__norank
OTU54	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	14.0	3.0	17.0	4.0	4.0	1.0	25.0	8.0	13.0	4.0	6.0	2.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	6.0	1.0	3.0	20.0	6.0	1.0	4.0	4.0	5.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcaceae UCG-010; s__uncultured rumen bacterium
OTU55	1.0	0.0	0.0	8.0	17.0	0.0	2.0	0.0	0.0	27.0	88.0	0.0	1.0	0.0	3.0	357.0	276.0	0.0	0.0	0.0	178.0	10.0	1.0	0.0	0.0	0.0	369.0	36.0	1.0	8.0	0.0	0.0	1222.0	18.0	6.0	16.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidales S24-7 group; g__norank; s__uncultured rumen bacterium
OTU56	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	4.0	0.0	0.0	77.0	0.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	1.0	0.0	3.0	0.0	4.0	1.0	1.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidetes BD2-2; o__norank; f__norank; g__norank; s__uncultured rumen bacterium
OTU57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus gallolyticus subsp. macedonicus
OTU58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	7.0	0.0	d__Bacteria; p__Spirochaetae; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema 2; s__uncultured rumen bacterium
OTU59	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	6.0	1.0	0.0	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
OTU60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiraceae UCG-002; s__uncultured rumen bacterium
OTU61	13.0	12.0	0.0	3.0	5.0	0.0	16.0	0.0	15.0	20.0	13.0	1.0	94.0	87.0	19.0	60.0	39.0	15.0	97.0	13.0	7.0	0.0	5.0	0.0	123.0	16.0	15.0	0.0	8.0	0.0	172.0	73.0	74.0	3.0	105.0	2.0	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella 1
OTU62	3.0	3.0	0.0	0.0	0.0	0.0	21.0	0.0	9.0	0.0	0.0	3.0	7.0	9.0	1.0	0.0	0.0	9.0	1.0	1.0	0.0	0.0	0.0	0.0	11.0	17.0	2.0	0.0	1.0	0.0	1.0	4.0	4.0	0.0	0.0	0.0	d__Bacteria; p__Spirochaetae; c__Spirochaetes; o__Spirochaetales; f__Spirochaetaceae; g__Treponema 2
